Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Marle,Brouwerij Poesiat & Kater,3.50,3.43,6%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F51%2F36%2F368694.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/poesiat-kater-marle--368694"", ""Beer Page"")",Netherlands,yellow,black,
Wildt,Brouwerij Poesiat & Kater,3.50,3.38,5.5%,Wheat Beer - Hopfenweisse,beer-images.beerizer.com%2Fraw%2F51%2F38%2F388265.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/poesiat-kater-wildt--388265"", ""Beer Page"")",Netherlands,green,white,
Be Wise,Brouwerij Kees,2.95,3.17,0.3%,Non-Alcoholic - Wheat,beer-images.beerizer.com%2Fraw%2F51%2F32%2F328210.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/kees-be-wise--328210"", ""Beer Page"")",Netherlands,blue,white,
Wit 0.0%,Lowlander Beer,3.25,2.95,N/A,Non-Alcoholic - Wheat,beer-images.beerizer.com%2Fraw%2F51%2F35%2F359332.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/lowlander-wit-00--359332"", ""Beer Page"")",Netherlands,blue,white,
Paradisco,La Superbe,6.70,3.93,6%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F40%2F43%2F431378.jpg,"=HYPERLINK(""https://beerizer.com/shop/la_bierotheque/paradisco--431378"", ""Beer Page"")",France,white,black,
Tropical Gose,Browar Stu Mostów,3.80,3.88,4.6%,Sour - Fruited Gose,beer-images.beerizer.com%2Fraw%2F65%2F22%2F226576.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/tropical-gose--226576"", ""Beer Page"")",Poland,black,gold,
Double Ego Northeast Double IPA,Piwne Podziemie,4.60,3.87,8.2%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F65%2F12%2F122640.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/double-ego-northeast-double-ipa--122640"", ""Beer Page"")",Poland,yellow,white,
Nobody Told Me,Browar Artezan,3.70,3.73,6.5%,IPA - American,beer-images.beerizer.com%2Fraw%2F65%2F34%2F343965.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/nobody-told-me--343965"", ""Beer Page"")",Poland,orange,white,
Hazy Morning Hazy APA,Browar PINTA,3.00,3.60,4.4%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F65%2F12%2F122854.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/hazy-morning-hazy-apa--122854"", ""Beer Page"")",Poland,white,black,
Hazy Morning Hazy APA - karton 10 szt.,Browar PINTA,48.40,3.60,4.4%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F65%2F37%2F370573.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/hazy-morning-hazy-apa-karton-10-szt--370573"", ""Beer Page"")",Poland,green,white,
Kwas Jota,Browar PINTA,3.60,3.58,4%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F65%2F24%2F242079.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/kwas-jota--242079"", ""Beer Page"")",Poland,black,white,
Atak Chmielu,Browar PINTA,3.10,3.56,6.1%,IPA - American,beer-images.beerizer.com%2Fraw%2F65%2F12%2F122866.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/atak-chmielu--122866"", ""Beer Page"")",Poland,white,black,
Atak Chmielu - karton 10 szt.,Browar PINTA,50.00,3.56,6.1%,IPA - American,beer-images.beerizer.com%2Fraw%2F65%2F37%2F370574.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/atak-chmielu-karton-10-szt--370574"", ""Beer Page"")",Poland,white,black,
Warmouth,De Kromme Haring,4.20,3.72,6.3%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F27%2F40%2F407544.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/de-kromme-haring-warmouth--407544"", ""Beer Page"")",Netherlands,white,blue,
Beak X 3 Sons,Beak Brewery,9.84,4.14,10%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F95%2F42%2F423070.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/beak-x-3-sons--423070"", ""Beer Page"")",England,white,black,
Ego Birth,Blackout Brewing,8.04,4.08,10.5%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F95%2F42%2F423134.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/ego-birth--423134"", ""Beer Page"")",Romania,black,white,
B Bop Fermentory Mumia,B BOP FERMENTORY,9.90,4.27,4.3%,Sour - Smoothie / Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6122703_97ac1_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/beerselection/b-bop-fermentory-mumia--397055"", ""Beer Page"")",Hungary,black,white,
