Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Festbier Hell - 5l Fass,Brauerei Hummel,16.90,3.51,5.4%,Festbier,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-420364_10538_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/festbier-hell-5l-fass--189411"", ""Beer Page"")",Germany,blue,white,
Merkendorfer Helles,Brauerei Hummel,2.10,3.49,4.8%,Lager - Helles,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-BrauereiHummel_5652.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/merkendorfer-helles--376638"", ""Beer Page"")",Germany,N/A,N/A,Failed to encode image
Pils,Brauerei Hummel,1.90,3.45,5%,Pilsner - German,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-397433_5f87e_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/pils--189413"", ""Beer Page"")",Germany,gold,black,
Pils - 5l Fass,Brauerei Hummel,16.90,3.45,5%,Pilsner - German,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-397433_5f87e_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/pils-5l-fass--189412"", ""Beer Page"")",Germany,white,black,
Cowboy Schwarz Bier,Brauerei Hummel,1.90,3.35,5%,Schwarzbier,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-HummelBrauCowboySchwarzbier_20166.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/cowboy-schwarz-bier--158881"", ""Beer Page"")",Germany,black,white,
Urfass,Arcobräu Gräfliches Brauhaus,1.90,3.25,5.2%,Lager - Helles,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-84419_19455_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/urfass--370374"", ""Beer Page"")",Germany,blue,gold,
Barrel Aged Belgian Tripel Jack Daniels Makers Mark,Two Chefs Brewing,8.10,3.88,9.7%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F27%2F38%2F387263.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/two-chefs-barrel-aged-belgian-tripel-jack-daniels-makers-mark--387263"", ""Beer Page"")",Netherlands,white,black,
Sudden Death x Mad Scientist Gigageil,Sudden Death Brewing Co.,8.95,3.68,7.7%,Sour - Other,beer-images.beerizer.com%2Fraw%2F27%2F41%2F412408.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/sudden-death-x-mad-scientist-gigageil--412408"", ""Beer Page"")",Germany,pink,white,
Bogaerden Black Geuze,Brouwerij-Stokerij Sako,15.95,3.95,6.5%,Lambic - Gueuze,beer-images.beerizer.com%2Fraw%2F66%2F41%2F418268.webp,"=HYPERLINK(""https://beerizer.com/shop/huisvandegeuze/bogaerden-black-geuze--418268"", ""Beer Page"")",Belgium,N/A,N/A,API error: 500
Kriek,Brouwerij Girardin,4.10,3.77,5%,Lambic - Kriek,beer-images.beerizer.com%2Fraw%2F66%2F20%2F202555.jpg,"=HYPERLINK(""https://beerizer.com/shop/huisvandegeuze/girardin-kriek--202555"", ""Beer Page"")",Belgium,white,black,
Trace 2023 Lambiek/Geuze,Tommie Sjef,30.00,3.81,9.5%,Wild Ale - American,beer-images.beerizer.com%2Fraw%2F97%2F41%2F417744.png,"=HYPERLINK(""https://beerizer.com/shop/houseofbeers/tommie-sjef-trace-2023-lambiekgeuze--417744"", ""Beer Page"")",Netherlands,white,black,
Play Dead,Freak Folk Bier,16.00,4.43,7.8%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F76%2F43%2F432333.png,"=HYPERLINK(""https://beerizer.com/shop/jbcraftdrinks/play-dead--432333"", ""Beer Page"")",United States,black,white,
Naked Lunch,Maktoob Brewing,6.95,3.96,10.6%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F50%2F43%2F432332.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/naked-lunch--432332"", ""Beer Page"")",Romania,gold,black,
The Don,Verdant Brewing Co,12.35,4.14,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F27%2F43%2F432330.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/verdant-the-don--432330"", ""Beer Page"")",England,black,yellow,
Hell Rat,Ossett Brewery,3.45,3.38,4%,Lager - Helles,beer-images.beerizer.com%2Fraw%2F27%2F43%2F432331.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/ossett-hell-rat--432331"", ""Beer Page"")",England,black,white,
Omnipollo x Other Half BAHA,Other Half Brewing Co.,10.95,4.22,13%,IPA - Quadruple,beer-images.beerizer.com%2Fraw%2F27%2F43%2F432328.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/omnipollo-x-other-half-baha--432328"", ""Beer Page"")",United States,blue,white,
Omnipollo x Toppling Goliath King Church,Omnipollo,10.35,4.13,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F27%2F43%2F432327.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/omnipollo-x-toppling-goliath-king-church--432327"", ""Beer Page"")",Sweden,gray,yellow,
X-Brewing Intergalactic Gumbal,X-brewing,6.50,3.52,5.5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F27%2F43%2F432325.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/x-brewing-intergalactic-gumbal--432325"", ""Beer Page"")",Netherlands,black,white,
Dream in Mosaic,Brasserie Surréaliste,4.60,3.80,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F50%2F43%2F432324.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/dream-in-mosaic--432324"", ""Beer Page"")",Belgium,purple,white,
Rochefort Trappistes 10,Abbaye Notre-Dame de Saint-Rémy,4.52,4.05,11.3%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90497.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/rochefort-trappistes-10--90497"", ""Beer Page"")",Belgium,dark,light,
Bleue,Bières de Chimay,4.10,3.89,9%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F53%2F9%2F95620.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/chimay-bleue--95620"", ""Beer Page"")",Belgium,white,black,
Rochefort Trappistes 8,Abbaye Notre-Dame de Saint-Rémy,3.64,3.84,9.2%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90503.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/rochefort-trappistes-8--90503"", ""Beer Page"")",Belgium,white,black,
Pauwel Kwak Amber,Brouwerij Bosteels,3.84,3.76,8.4%,Pale Ale - Belgian,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90494.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/bosteels-pauwel-kwak-amber--90494"", ""Beer Page"")",Belgium,brown,white,
Rouge,Bières de Chimay,3.06,3.72,7%,Belgian Dubbel,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90488.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/chimay-rouge--90488"", ""Beer Page"")",Belgium,white,red,
Biolegére,Brasserie Dupont,2.20,2.95,3.5%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F53%2F12%2F128710.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/dupont-biolegere--128710"", ""Beer Page"")",Belgium,white,black,
Ifigenia Chardonnay/Auxerrois Brut IPA,Brouwerij de HopHemel,2.80,3.46,7.1%,IPA - Brut,beer-images.beerizer.com%2Fraw%2F50%2F43%2F432323.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/ifigenia-chardonnayauxerrois-brut-ipa--432323"", ""Beer Page"")",Belgium,brown,yellow,
Pohoda Gose Jahoda,Pivovar Mazák,7.26,3.85,4.6%,Sour - Fruited Gose,beer-images.beerizer.com%2Fraw%2F53%2F43%2F432322.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/mazak-pohoda-gose-jahoda--432322"", ""Beer Page"")",Czech Republic,white,red,
