Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,OCR_Text
Rush Everything,Bereta Brewing Co.,5.96,3.78,6.4%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419477.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-rush-everything--419477"", ""Beer Page"")",
Crimson Curse,Holy Goat Brewing,9.21,3.77,7.6%,Sour - Flanders Red Ale,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419474.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/holy-goat-crimson-curse--419474"", ""Beer Page"")",
No Matter the Season,Bereta Brewing Co.,6.32,,9.8%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419479.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-no-matter-the-season--419479"", ""Beer Page"")",
True Oasis,Bereta Brewing Co.,5.96,,8.3%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419476.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-true-oasis--419476"", ""Beer Page"")",
Bersalis Tripel OA 2021,Oud Beersel,8.51,3.59,10.5%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419473.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/oud-beersel-bersalis-tripel-oa-2021--419473"", ""Beer Page"")",
Flotzinger Hell,Flötzinger Bräu,4.1,3.49,5.2%,Lager - Helles,beer-images.beerizer.com%2Fraw%2F60%2F22%2F229473.png,"=HYPERLINK(""https://beerizer.com/shop/beermerchants/flotzinger-hell--229473"", ""Beer Page"")",
The 4 Elements: Fire,Moersleutel Craft Brewery,8.3,4.06,12%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F69%2F41%2F419472.jpg,"=HYPERLINK(""https://beerizer.com/shop/gedeeldevreugde/the-4-elements-fire--419472"", ""Beer Page"")",
Ancient Engineering: Flint Sickle,Moersleutel Craft Brewery,8.3,3.91,11%,Barleywine - Other,beer-images.beerizer.com%2Fraw%2F69%2F41%2F419471.jpg,"=HYPERLINK(""https://beerizer.com/shop/gedeeldevreugde/ancient-engineering-flint-sickle--419471"", ""Beer Page"")",
Bright Lies | Kizárólag személyes átvétellel vagy azonnali budapesti szállítással rendelhető,Brew Your Mind,6.1,4.0,6.5%,IPA - New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2463379_38b68_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/beerselection/brew-your-mind-bright-lies-kizarolag-szemelyes-atvetellel-vagy-azonnali-budapesti-szallitassal-rendelheto--142970"", ""Beer Page"")",
Vienna Lager | Kizárólag személyes átvétellel vagy azonnali budapesti szállítással rendelhető,Brew Your Mind,4.6,3.63,5.1%,Lager - Vienna,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5281210_dbfe9_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/beerselection/brew-your-mind-vienna-lager-kizarolag-szemelyes-atvetellel-vagy-azonnali-budapesti-szallitassal-rendelheto--411732"", ""Beer Page"")",
Woerden 1372,Brouwerij BorrelNoot,3.3,3.13,5.9%,Historical Beer - Kuit / Kuyt / Koyt,beer-images.beerizer.com%2Fraw%2F48%2F25%2F255971.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierloods22/woerden-1372--255971"", ""Beer Page"")",
Anissa Bella - Pastis de Nice,Blue Coast Brewing Company,4.5,3.29,5.3%,Blonde / Golden Ale - Other,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4265910_bbb8e_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/anissa-bella-pastis-de-nice--373532"", ""Beer Page"")",BLUE COAST
Europa Bierpaket,,32.9,,,,beerizer.com%2Fimg%2Fplaceholder%2Fbox_1.png,"=HYPERLINK(""https://beerizer.com/shop/bierothek/europa-bierpaket--85511"", ""Beer Page"")",
Parabolic Spiral,Grid Beer Project,19.4,3.9,5.5%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F21%2F41%2F419469.png,"=HYPERLINK(""https://beerizer.com/shop/premierhop/parabolic-spiral--419469"", ""Beer Page"")",
Wolverton Haze,Grid Beer Project,19.4,3.84,3.8%,IPA - Session,beer-images.beerizer.com%2Fraw%2F21%2F41%2F419470.png,"=HYPERLINK(""https://beerizer.com/shop/premierhop/wolverton-haze--419470"", ""Beer Page"")",
Good Idea,Grid Beer Project,19.4,3.72,4.8%,Fruit Beer,beer-images.beerizer.com%2Fraw%2F21%2F41%2F419468.png,"=HYPERLINK(""https://beerizer.com/shop/premierhop/good-idea--419468"", ""Beer Page"")",
Burst Into Bright,The Queer Brewing Project,6.1,3.73,6%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F22%2F17%2F172988.jpg,"=HYPERLINK(""https://beerizer.com/shop/ghostwhale/burst-into-bright--172988"", ""Beer Page"")",
