Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,OCR_Text
Centaur Army 2024,Neon Raptor Brewing Co.,7.35,4.22,12%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F87%2F39%2F394005.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/centaur-army-2024--394005"", ""Beer Page"")",
Maple X Coffee X Vanilla X Peanut Butter X Almond Imperial Stout,Ārpus Brewing Co.,7.0,4.21,11.5%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6178081_d6012_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/maple-x-coffee-x-vanilla-x-peanut-butter-x-almond-imperial-stout--401231"", ""Beer Page"")",
El Charro Negro,Pulfer Brewery,10.0,4.19,10.8%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F87%2F38%2F389678.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/el-charro-negro--389678"", ""Beer Page"")",
BA Shadows,DOT Brew,8.75,4.17,16%,Barleywine - Other,beer-images.beerizer.com%2Fraw%2F87%2F37%2F374535.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/ba-shadows--374535"", ""Beer Page"")",
Will It Float #11,White Dog Brewery,7.8,4.17,6%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F87%2F38%2F389670.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/will-it-float-11--389670"", ""Beer Page"")",
Dessert In A Can Coconut Choc Chip Cookie,Amundsen Brewery,5.0,4.15,10.5%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3039370_ea88c_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/dessert-in-a-can-coconut-choc-chip-cookie--391555"", ""Beer Page"")",
Rosa,Ophiussa Brewing Co.,8.5,4.14,5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F87%2F37%2F376852.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/rosa--376852"", ""Beer Page"")",
Arpus X Pinta Barrel Brewing Cognac Barrel Aged Vanilla Stout,Ārpus Brewing Co.,10.0,4.13,13%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F87%2F40%2F401233.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/arpus-x-pinta-barrel-brewing-cognac-barrel-aged-vanilla-stout--401233"", ""Beer Page"")",
Arpus X Hoppy People Quintuple Dry Hopped Riwaka X Citra X Moutere X Motueka TIPA,Ārpus Brewing Co.,6.6,4.13,9.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F40%2F405414.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/arpus-x-hoppy-people-quintuple-dry-hopped-riwaka-x-citra-x-moutere-x-motueka-tipa--405414"", ""Beer Page"")",(
Double Fudge,Brouwerij Kees,15.0,4.12,20%,Bock - Eisbock,beer-images.beerizer.com%2Fraw%2F87%2F37%2F379694.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/double-fudge--379694"", ""Beer Page"")",
Dessert In A Can Chocolate & Hazelnut Crepe,Amundsen Brewery,5.0,4.11,10.5%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4240174_80791_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/dessert-in-a-can-chocolate-hazelnut-crepe--391554"", ""Beer Page"")",DESSERTINA GAR
Gelato: Mango Cheesecake,Funky Fluid,6.5,4.09,5.5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F87%2F38%2F389877.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/gelato-mango-cheesecake--389877"", ""Beer Page"")",
Island Fusion,Fermenterarna,7.0,4.07,7%,Sour - Smoothie / Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6064165_a6ed5_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/island-fusion--384210"", ""Beer Page"")",
King Krush,Seven Island Brewery,7.0,4.07,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F38%2F382737.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/king-krush--382737"", ""Beer Page"")",
Universal Blast,Seven Island Brewery,7.0,4.06,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F38%2F382736.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/universal-blast--382736"", ""Beer Page"")",
"Barista Series #1 (Brazilian Coffee, Roasted Peanuts & Hazelnuts)",Factory Brewing,8.25,4.05,10%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F87%2F40%2F400207.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/barista-series-1-brazilian-coffee-roasted-peanuts-hazelnuts--400207"", ""Beer Page"")",Os
Barrel Aged Past Lords 2025,Third Moon Brewing Company,14.0,4.05,10.5%,Bock - Doppelbock,beer-images.beerizer.com%2Fraw%2F87%2F40%2F400222.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/barrel-aged-past-lords-2025--400222"", ""Beer Page"")",
Imperial Tonka Rush,Hop Hooligans,10.0,4.05,10.5%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F87%2F40%2F402512.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/imperial-tonka-rush--402512"", ""Beer Page"")",
Dessert In A Can Peanut Butter & Coconut Cookies,Amundsen Brewery,5.0,3.99,10.5%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4240168_8c6b4_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/dessert-in-a-can-peanut-butter-coconut-cookies--391559"", ""Beer Page"")","Dkeeu

DESSERTINAGAN"
Wake the Riot,Black Rebel Brewing Company,6.5,3.93,6.5%,IPA - American,beer-images.beerizer.com%2Fraw%2F87%2F40%2F401135.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/wake-the-riot--401135"", ""Beer Page"")",ae
Doppler (Lager Tmave),Equilibrium Brewery,7.0,3.87,4.6%,Lager - Tmavé (Czech Dark),beer-images.beerizer.com%2Fraw%2F87%2F39%2F393713.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/doppler-lager-tmave--393713"", ""Beer Page"")",
Fieldburner (Lager Pre Prohibition),Tree House Brewing Company,18.0,3.83,5.5%,Lager - American Pre-Prohibition,beer-images.beerizer.com%2Fraw%2F87%2F37%2F373265.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/fieldburner-lager-pre-prohibition--373265"", ""Beer Page"")",
American Barleywine,Ārpus Brewing Co.,7.25,3.83,11.5%,Barleywine - American,beer-images.beerizer.com%2Fraw%2F87%2F39%2F396241.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/american-barleywine--396241"", ""Beer Page"")",
Dry Hopped Singles Club (Strata Edition),Bullhouse Brew Co,5.25,3.81,6.5%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F40%2F408050.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/dry-hopped-singles-club-strata-edition--408050"", ""Beer Page"")",
Undisclosed Desires,Brouwerij Kees,6.5,3.81,16%,Freeze-Distilled Beer,beer-images.beerizer.com%2Fraw%2F87%2F39%2F398160.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/undisclosed-desires--398160"", ""Beer Page"")",
Frog's Hollow Double Pumpkin Ale,Hoppin' Frog Brewery,8.5,3.8,8.4%,Pumpkin / Yam Beer,beer-images.beerizer.com%2Fraw%2F87%2F38%2F381801.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/frogs-hollow-double-pumpkin-ale--381801"", ""Beer Page"")",
Hedonism,Bad Manners Gypsy Brewing Co.,7.0,3.77,6.3%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F87%2F40%2F401132.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/hedonism--401132"", ""Beer Page"")",
Imperial Cyder Harvest 293 (Cider Applewine),Aspall Cyder,8.5,3.75,8.2%,Cider - Applewine,beer-images.beerizer.com%2Fraw%2F87%2F37%2F376261.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/imperial-cyder-harvest-293-cider-applewine--376261"", ""Beer Page"")",
Rouge Allure (Sahti),UGAR Brewery,6.0,3.7,12%,Farmhouse Ale - Sahti,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6067330_9144d_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/rouge-allure-sahti--389785"", ""Beer Page"")",
Azedo-Frutado! (Sour Catharina),Browar Trójmiejski Lubrow,5.1,3.61,4.9%,Sour - Catharina,beer-images.beerizer.com%2Fraw%2F87%2F40%2F402804.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/azedo-frutado-sour-catharina--402804"", ""Beer Page"")",
Wild Tree Hoppy Cider,BlakStoc,3.75,3.59,4.5%,Cider - Herbed / Spiced / Hopped,beer-images.beerizer.com%2Fraw%2F87%2F37%2F376262.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/wild-tree-hoppy-cider--376262"", ""Beer Page"")",
Bear Away (California Common),Eastside Brewing,3.85,3.52,5.8%,California Common,beer-images.beerizer.com%2Fraw%2F87%2F41%2F410262.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/bear-away-california-common--410262"", ""Beer Page"")",
Badlands Pils,Rascals Brewing Co,5.0,3.51,4.4%,Pilsner - Other,beer-images.beerizer.com%2Fraw%2F87%2F40%2F402514.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/badlands-pils--402514"", ""Beer Page"")",
Rotes Lager (Lager Rotbier),FUERST WIACEK,4.25,3.51,5%,Lager - Rotbier,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6031114_217a7_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/rotes-lager-lager-rotbier--379624"", ""Beer Page"")",
Rukkirääk (Rye Beer),Põhjala,4.5,3.5,5.9%,Rye Beer,beer-images.beerizer.com%2Fraw%2F87%2F39%2F392838.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/rukkiraak-rye-beer--392838"", ""Beer Page"")","a
i

ul
"""
Old Ale (Mild Dark),Adnams,4.5,3.48,4.1%,Mild - Dark,beer-images.beerizer.com%2Fraw%2F87%2F37%2F374158.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/old-ale-mild-dark--374158"", ""Beer Page"")",
Kreeftwerk (Lichtenhainer),De Kromme Haring/ Wilder Wald,6.0,3.47,4.2%,Historical Beer - Lichtenhainer,beer-images.beerizer.com%2Fraw%2F87%2F38%2F384220.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/kreeftwerk-lichtenhainer--384220"", ""Beer Page"")",
Koejake Mango IPA,Bryggja Brewery,2.9,3.43,7.8%,IPA - American,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-35260_14191.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/koejake-mango-ipa--379625"", ""Beer Page"")",Error: cannot identify image file 'beer_images/untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-35260_14191.jpeg'
Spitsbergen Weissbier,Svalbard Bryggeri,4.5,3.41,5.5%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F87%2F37%2F374150.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/spitsbergen-weissbier--374150"", ""Beer Page"")",
Bruks Bitter,O/O Brewing,3.0,3.34,3.9%,Bitter - Session / Ordinary,beer-images.beerizer.com%2Fraw%2F87%2F38%2F384088.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/bruks-bitter--384088"", ""Beer Page"")",
Cheeky Chap,Oslo Brewing Company,3.0,3.33,6.2%,IPA - English,beer-images.beerizer.com%2Fraw%2F87%2F39%2F390816.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/cheeky-chap--390816"", ""Beer Page"")",
Steam Beer (California Common),Oslo Brewing Company,3.95,3.31,5%,California Common,beer-images.beerizer.com%2Fraw%2F87%2F37%2F374129.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/steam-beer-california-common--374129"", ""Beer Page"")",
Pivot Pils,O/O Brewing,3.2,3.22,4.6%,Pilsner - Czech / Bohemian,beer-images.beerizer.com%2Fraw%2F87%2F38%2F384211.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/pivot-pils--384211"", ""Beer Page"")",
Venloosch Alt,Lindeboom,1.85,3.13,5.2%,Altbier - Traditional,beer-images.beerizer.com%2Fraw%2F87%2F39%2F392752.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/venloosch-alt--392752"", ""Beer Page"")",
Kirsene (Non Alcoholic Mead),Labietis,4.0,3.1,,Non-Alcoholic - Mead,beer-images.beerizer.com%2Fraw%2F87%2F40%2F400204.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/kirsene-non-alcoholic-mead--400204"", ""Beer Page"")",
Pure Bliss DIPA STRATA HBC 1019,Browar Stu Mostów,6.9,3.91,7.5%,IPA - Imperial / Double New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6223782_5c816_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/pure-bliss-dipa-strata-hbc-1019--410622"", ""Beer Page"")",
Golden Fog DIPA,Browar Stu Mostów,6.9,3.87,7.5%,IPA - Imperial / Double New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6215297_d311f_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/golden-fog-dipa--410623"", ""Beer Page"")",
IPA,Stone Brewing,2.5,3.74,6.9%,IPA - American,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-821_a4616_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/ipa--92251"", ""Beer Page"")",
Hopfenstopfer Comet IPA,Häffner Bräu - Hopfenstopfer,2.8,3.53,6.8%,IPA - American,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-323307_3fff8_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/hopfenstopfer-comet-ipa--219215"", ""Beer Page"")",
Nothelfer Vierzehnheiligener Lager,Alte Klosterbrauerei Vierzehnheiligen Brauerei Trunk,1.8,3.43,4.7%,Lager - Helles,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-880216_e6987_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/nothelfer-vierzehnheiligener-lager--295013"", ""Beer Page"")",
Lagerbier ungespundet,Brauerei Wagner Merkendorf,2.0,3.37,5.3%,Kellerbier / Zwickelbier,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-50166_67085_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/lagerbier-ungespundet--84375"", ""Beer Page"")",
BIRD OF PREY,Uiltje Brewing Company,3.0,3.3,0.2%,Non-Alcoholic - IPA,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5648920_0edbf_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/bird-of-prey--341313"", ""Beer Page"")",
Sommer-Paket,Uiltje,12.9,,,,beerizer.com%2Fimg%2Fplaceholder%2Fbox_1.png,"=HYPERLINK(""https://beerizer.com/shop/bierothek/sommer-paket--344244"", ""Beer Page"")",
Hoods on Peregrine,Bereta Brewing Co.,8.21,3.97,10.7%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F8%2F31%2F310715.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-hoods-on-peregrine--310715"", ""Beer Page"")",
DDH Express Way,Trillium Brewing Company,15.0,4.15,7.2%,IPA - American,beer-images.beerizer.com%2Fraw%2F76%2F41%2F419484.png,"=HYPERLINK(""https://beerizer.com/shop/jbcraftdrinks/ddh-express-way--419484"", ""Beer Page"")",
Country Squire,Trillium Brewing Company,14.5,3.9,7%,IPA - American,beer-images.beerizer.com%2Fraw%2F76%2F41%2F419485.png,"=HYPERLINK(""https://beerizer.com/shop/jbcraftdrinks/country-squire--419485"", ""Beer Page"")",
Chill Out Sauce,Bereta Brewing Co.,6.87,4.13,3%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419482.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-chill-out-sauce--419482"", ""Beer Page"")",
Mango Panna Cotta,Bereta Brewing Co.,6.87,4.12,3.2%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419480.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-mango-panna-cotta--419480"", ""Beer Page"")",
Additional Info,Bereta Brewing Co.,5.96,4.11,6.7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419483.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-additional-info--419483"", ""Beer Page"")",
Late Santa,Bereta Brewing Co.,8.39,4.08,10%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419481.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-late-santa--419481"", ""Beer Page"")",
Patch Notes,Bereta Brewing Co.,6.32,4.02,9.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419478.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/bereta-patch-notes--419478"", ""Beer Page"")",
Bramble Smasher,Holy Goat Brewing,8.71,3.9,5.8%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F8%2F41%2F419475.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/holy-goat-bramble-smasher--419475"", ""Beer Page"")",
