Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country
Maple x Coffee x Vanilla x Peanut Butter x Almond Imperial Stout,Ārpus Brewing Co.,7.14,4.21,11.5%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F95%2F40%2F404764.jpg,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/maple-x-coffee-x-vanilla-x-peanut-butter-x-almond-imperial-stout--404764"", ""Beer Page"")",Latvia
Liquid Swords,Azvex Brewing Company,7.74,4.17,8.2%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F42%2F426956.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/liquid-swords--426956"", ""Beer Page"")",England
Cuvée Clarisse Wild Weasel Whisky Infused,Brouwerij Wilderen,3.95,3.74,10.2%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F51%2F26%2F265383.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/wilderen-cuvee-clarisse-wild-weasel-whisky-infused--265383"", ""Beer Page"")",Belgium
Cuvée Clarisse Rum Liquor Infused,Brouwerij Wilderen,3.50,3.65,11.2%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F51%2F30%2F305878.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/wilderen-cuvee-clarisse-rum-liquor-infused--305878"", ""Beer Page"")",Belgium
Schelde Lamme Goedzak,Scheldebrouwerij,3.25,3.55,7%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F51%2F8%2F83658.jpg,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/schelde-lamme-goedzak--83658"", ""Beer Page"")",Belgium
Funky Falcon Non Alcoholic,Two Chefs Brewing,3.25,3.24,0.2%,Non-Alcoholic - Pale Ale,beer-images.beerizer.com%2Fraw%2F51%2F38%2F388264.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/two-chefs-brewing-funky-falcon-non-alcoholic--388264"", ""Beer Page"")",Netherlands
Hasard,Brasserie du Bas-Canada,9.00,4.38,10%,IPA - Triple,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5830523_18225_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/hasard--357140"", ""Beer Page"")",Canada
Néron,Brasserie du Bas-Canada,8.50,4.36,8%,IPA - Imperial / Double,beer-images.beerizer.com%2Fraw%2F87%2F35%2F352599.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/neron--352599"", ""Beer Page"")",Canada
Doubly Dry Hopped #GatineauIsTrending,Brasserie du Bas-Canada,12.50,4.36,10%,IPA - Triple,beer-images.beerizer.com%2Fraw%2F87%2F36%2F366200.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/doubly-dry-hopped-gatineauistrending--366200"", ""Beer Page"")",Canada
Whale Sharks,Verdant Brewing Co,10.50,4.20,8.4%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F26%2F36%2F364927.jpg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/verdant-whale-sharks--364927"", ""Beer Page"")",England
