Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Astronauts & Crosses,Pentrich Brewing Co.,7.00,3.96,7.2%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F21%2F43%2F432747.jpg,"=HYPERLINK(""https://beerizer.com/shop/premierhop/astronauts-crosses--432747"", ""Beer Page"")",England,white,black,
Taste No Evil,Factory Brewing,7.60,4.09,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F42%2F423143.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/taste-no-evil--423143"", ""Beer Page"")",Finland,white,black,
Blueprints: Bookshelf,Moersleutel Craft Brewery,6.50,3.95,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F40%2F404794.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/blueprints-bookshelf--404794"", ""Beer Page"")",Netherlands,white,black,
Shadowroot,Piwne Podziemie,4.74,3.80,6.7%,IPA - Black / Cascadian Dark Ale,beer-images.beerizer.com%2Fraw%2F95%2F40%2F404571.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/shadowroot--404571"", ""Beer Page"")",Poland,black,gold,
Pyöveli,Panimoyhtiö Tuju,5.70,3.70,9.2%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F95%2F41%2F413774.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/pyoveli--413774"", ""Beer Page"")",Finland,black,white,
Jungle Juice,Guilty Monkey Brewery,3.79,3.33,6%,IPA - Milkshake,beer-images.beerizer.com%2Fraw%2F95%2F41%2F419772.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/guilty-monkey-jungle-juice--419772"", ""Beer Page"")",Netherlands,white,black,
Milky Way,Cervejaria Escafandrista,7.54,4.21,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F43%2F431197.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/milky-way--431197"", ""Beer Page"")",Brazil,black,gold,
Muifel Zuster Agatha Bus Whisky,Muifelbrouwerij,8.30,4.16,10%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426309.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-zuster-agatha-bus-whisky--426309"", ""Beer Page"")",Netherlands,white,black,
Muifel Nondeju Grand Cru Vatgerijpt Gin,Muifelbrouwerij,7.45,3.97,11.5%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432744.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-nondeju-grand-cru-vatgerijpt-gin--432744"", ""Beer Page"")",Netherlands,white,black,
Muifel /Klere Boght 2 Guys 2 Buckets,Muifelbrouwerij,6.00,3.95,12%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432743.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-klere-boght-2-guys-2-buckets--432743"", ""Beer Page"")",Netherlands,blue,yellow,
Muifel Black Magic,Muifelbrouwerij,4.25,3.84,10%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432741.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-black-magic--432741"", ""Beer Page"")",Netherlands,blue,white,
Secreatriat Whiskey Infused,Baron Brouwerij,4.40,3.77,9.2%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432742.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/baron-brouwerij-secreatriat-whiskey-infused--432742"", ""Beer Page"")",Netherlands,dark,white,
Muifel Oops We Did It A Can,Muifelbrouwerij,4.10,3.68,7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432740.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-oops-we-did-it-a-can--432740"", ""Beer Page"")",Netherlands,blue,white,
Muifel Zuster Agatha,Muifelbrouwerij,9.00,3.64,10%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432746.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-zuster-agatha--432746"", ""Beer Page"")",Netherlands,brown,white,
Muifel Zuster Agatha Whiskey Infused,Muifelbrouwerij,4.25,3.60,11%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426264.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-zuster-agatha-whiskey-infused--426264"", ""Beer Page"")",Netherlands,brown,white,
Muifel Galaxy Baltic Porter,Muifelbrouwerij,3.95,3.49,7.5%,Porter - Baltic,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432739.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-galaxy-baltic-porter--432739"", ""Beer Page"")",Netherlands,blue,white,
Muifel Muifel - Weizen,Muifelbrouwerij,2.90,3.45,5.6%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432736.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-muifel-weizen--432736"", ""Beer Page"")",Netherlands,brown,white,
Muifel D'n Ossekop,Muifelbrouwerij,8.00,3.45,7.5%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432745.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-dn-ossekop--432745"", ""Beer Page"")",Netherlands,white,black,
Muifel Dn Ossekop,Muifelbrouwerij,2.80,3.45,7.5%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432735.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-dn-ossekop--432735"", ""Beer Page"")",Netherlands,white,black,
Muifel Maashorst Blond,Muifelbrouwerij,2.80,3.45,6%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426076.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-maashorst-blond--426076"", ""Beer Page"")",Netherlands,gold,black,
Muifel Unne Zieverzak Tripel,Muifelbrouwerij,3.00,3.44,8%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426117.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/muifel-unne-zieverzak-tripel--426117"", ""Beer Page"")",Netherlands,blue,white,
Muze Non Alcohol Blond,Baron Brouwerij,3.20,3.33,0.5%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F98%2F43%2F432737.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/baron-brouwerij-muze-non-alcohol-blond--432737"", ""Beer Page"")",Netherlands,green,white,
The London Black,Anspach & Hobday,4.30,3.63,4.4%,Bitter - Extra Special / Strong (ESB),beer-images.beerizer.com%2Fraw%2F60%2F35%2F356876.png,"=HYPERLINK(""https://beerizer.com/shop/beermerchants/anspach-hobday-the-london-black--356876"", ""Beer Page"")",England,black,white,
Bouts Leuvense Witte,Brouwerij Hof ten Dormaal,4.00,3.31,4.5%,Wheat Beer - Witbier / Blanche,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3709147_50283_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hopsnmore/bouts-leuvense-witte--312464"", ""Beer Page"")",Belgium,blue,white,
Triporteur Full Moon 12,BOMBrewery,3.75,3.76,10.2%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F51%2F32%2F322647.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/bombrewery-triporteur-full-moon-12--322647"", ""Beer Page"")",Belgium,black,white,
OMER. Traditional Blond,Omer Vander Ghinste,3.50,3.60,8%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F51%2F35%2F353603.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/omer-traditional-blond--353603"", ""Beer Page"")",Belgium,white,black,
Kwaremont,Brouwerij De Brabandere,3.25,3.50,6.6%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F51%2F35%2F359336.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/de-brabandere-kwaremont--359336"", ""Beer Page"")",Belgium,green,black,
