Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Sticks & Stones (Cellar Series),Põhjala,8.95,4.03,13.5%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433389.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/sticks-stones-cellar-series--433389"", ""Beer Page"")",Estonia,black,white,
TDH Nectaron x Pacifica x Ekuanot DIPA,Ārpus Brewing Co.,6.50,4.03,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432801.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/tdh-nectaron-x-pacifica-x-ekuanot-dipa--432801"", ""Beer Page"")",Latvia,black,white,
Doom Witch (2025),Holy Goat Brewing,8.95,4.03,6.2%,Sour - Flanders Red Ale,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433177.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/doom-witch-2025--433177"", ""Beer Page"")",Scotland,black,white,
La Trappe Quadrupel (2022),Bierbrouwerij De Koningshoeven,16.95,4.03,10%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432860.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/la-trappe-quadrupel-2022--432860"", ""Beer Page"")",Netherlands,red,white,
Tranquility,Folkingebrew,7.50,4.03,8.5%,IPA - White / Wheat,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433118.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/tranquility--433118"", ""Beer Page"")",Netherlands,blue,white,
Beepstorm,Garage Beer Co.,7.50,4.03,6%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433143.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/beepstorm--433143"", ""Beer Page"")",Spain,red,white,
Gelato: Crema,Funky Fluid,6.95,4.03,5.5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433139.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/gelato-crema--433139"", ""Beer Page"")",Poland,white,red,
TDH Peacharine X Simcoe Cryo X Citra DIPA,Ārpus Brewing Co.,6.50,4.02,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432802.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/tdh-peacharine-x-simcoe-cryo-x-citra-dipa--432802"", ""Beer Page"")",Latvia,white,black,
Blender - Polyphemus,Blender.,9.95,4.02,6%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433234.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/blender-polyphemus--433234"", ""Beer Page"")",England,blue,white,
Pastry Factory: Espresso Quad,Moersleutel Craft Brewery,7.95,4.02,10%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433310.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/pastry-factory-espresso-quad--433310"", ""Beer Page"")",Netherlands,white,black,
Jelly King,Bellwoods Brewery,7.95,4.02,5.6%,Sour - Other,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-1498099_a0a21_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/jelly-king--432854"", ""Beer Page"")",Canada,yellow,white,
Crab hands,FUERST WIACEK,6.95,4.02,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433128.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/crab-hands--433128"", ""Beer Page"")",Germany,red,white,
7th Birthday Juice,White Dog Brewery,7.25,4.02,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433563.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/7th-birthday-juice--433563"", ""Beer Page"")",Netherlands,blue,white,
Super Collab (10 Years Edition),Brouwerij Kees,5.95,4.02,12.8%,Barleywine - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433211.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/super-collab-10-years-edition--433211"", ""Beer Page"")",Netherlands,blue,white,
Scylla And Charybdis,Moersleutel Craft Brewery,7.50,4.02,11%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433317.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/scylla-and-charybdis--433317"", ""Beer Page"")",Netherlands,white,black,
Oude Geuze Boon Black Label Edition N°4,Brouwerij Boon,29.95,4.02,7%,Lambic - Gueuze,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433005.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/oude-geuze-boon-black-label-edition-n4--433005"", ""Beer Page"")",Belgium,brown,white,
Vintage 2016 (Foeder No 222),Brouwerij Rodenbach,34.95,4.02,7%,Sour - Flanders Red Ale,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433014.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/rodenbach-vintage-2016-foeder-no-222--433014"", ""Beer Page"")",Belgium,black,white,
Cellar Of Shadows BA,Folkingebrew,9.95,4.02,11%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433120.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/cellar-of-shadows-ba--433120"", ""Beer Page"")",Netherlands,black,white,
Foeder Framboise By Rackhouse,LERVIG,21.95,4.02,5.3%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433240.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/foeder-framboise-by-rackhouse--433240"", ""Beer Page"")",Norway,white,black,
Zuster Agatha Vatgerijpt #16,Muifelbrouwerij,7.50,4.02,10%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433327.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/zuster-agatha-vatgerijpt-16--433327"", ""Beer Page"")",Netherlands,brown,white,
Stellar Strata,Salikatt Bryggeri,7.50,4.01,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433446.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/stellar-strata--433446"", ""Beer Page"")",Norway,white,black,
Punchdown Chambourcin (2023),Side Project Brewing,34.95,4.01,9%,Wild Ale - American,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433466.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/punchdown-chambourcin-2023--433466"", ""Beer Page"")",United States,black,white,
Clever Girl,Triple Crossing,8.50,4.01,6%,IPA - American,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433538.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/clever-girl--433538"", ""Beer Page"")",United States,purple,white,
Silhouet,Tommie Sjef,34.95,4.01,8.2%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433529.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/silhouet--433529"", ""Beer Page"")",Netherlands,gold,black,
"Purple Haze, Starburst Lemonade",White Dog Brewery,7.50,4.01,8.4%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433566.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/purple-haze-starburst-lemonade--433566"", ""Beer Page"")",Netherlands,purple,white,
Fruits of Labour - Magnum,Nevel Wild Ales,89.95,4.01,6.1%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433339.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/fruits-of-labour-magnum--433339"", ""Beer Page"")",Netherlands,blue,white,
Fresh Harvest Citra,Fermenterarna,6.95,4.00,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433089.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/fresh-harvest-citra--433089"", ""Beer Page"")",Sweden,orange,white,
Around the World,Folkingebrew,7.50,4.00,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433114.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/around-the-world--433114"", ""Beer Page"")",Netherlands,blue,white,
New York Triple,Omnipollo,10.50,4.00,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433347.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/new-york-triple--433347"", ""Beer Page"")",Sweden,green,white,
Vin Santo Sour By Rackhouse,LERVIG,23.95,4.00,9.5%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433247.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/vin-santo-sour-by-rackhouse--433247"", ""Beer Page"")",Norway,black,red,
Stuck In Paranoid Mash (2025),White Dog Brewery,7.25,4.00,8.4%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433567.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/stuck-in-paranoid-mash-2025--433567"", ""Beer Page"")",Netherlands,black,white,
Screen Violence,Pentrich Brewing Co.,7.50,4.00,8.4%,IPA - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433368.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/screen-violence--433368"", ""Beer Page"")",England,red,white,
Wilde Terf season 22,Brouwerij 3 Fonteinen,21.95,4.00,6.9%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432997.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/wilde-terf-season-22--432997"", ""Beer Page"")",Belgium,black,white,
