Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Cotton Candy Cupcakes,Vault City Brewing,7.29,3.97,4.1%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F12%2F43%2F432192.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/cotton-candy-cupcakes--432192"", ""Beer Page"")",Scotland,white,black,
Eazy Breezy,Vault City Brewing,7.29,3.85,5%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F12%2F43%2F432189.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/eazy-breezy--432189"", ""Beer Page"")",Scotland,white,black,
Pear & Elderflower Table Sour,Vault City Brewing,5.49,3.82,3%,Table Beer,beer-images.beerizer.com%2Fraw%2F12%2F43%2F432191.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/pear-elderflower-table-sour--432191"", ""Beer Page"")",Scotland,green,white,
Raspberry Sour,Vault City Brewing,4.99,3.82,5%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429464.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/raspberry-sour--429464"", ""Beer Page"")",Scotland,white,black,
Triple Fruited Mango,Vault City Brewing,4.99,3.70,4.8%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429563.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/triple-fruited-mango--429563"", ""Beer Page"")",Scotland,white,black,
Vleteren 8 Port Barrel Aged,Deca Brouwerij,3.50,3.65,8%,Belgian Dubbel,beer-images.beerizer.com%2Fraw%2F50%2F43%2F432183.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/vleteren-8-port-barrel-aged--432183"", ""Beer Page"")",Belgium,white,black,
Time Spiral,Spartacus Brewing,7.65,4.23,9.4%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F20%2F43%2F432182.jpg,"=HYPERLINK(""https://beerizer.com/shop/debierliefhebber/time-spiral--432182"", ""Beer Page"")",Brazil,black,white,
Seoul Brewery Kraftwerk Pils,서울브루어리ㅣSEOUL BREWERY,3.95,3.60,4.8%,Pilsner - German,beer-images.beerizer.com%2Fraw%2F51%2F43%2F431624.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/seoul-brewery-kraftwerk-pils--431624"", ""Beer Page"")",South Korea,white,black,
Seoul Brewery Gold Rush California Common,서울브루어리ㅣSEOUL BREWERY,3.95,3.59,5.1%,California Common,beer-images.beerizer.com%2Fraw%2F51%2F43%2F431623.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/seoul-brewery-gold-rush-california-common--431623"", ""Beer Page"")",South Korea,white,black,
This House,Verdant Brewing Co,6.49,3.63,4.8%,Pale Ale - English,beer-images.beerizer.com%2Fraw%2F12%2F43%2F431346.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/this-house--431346"", ""Beer Page"")",England,silver,black,
