Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
5 Fruit Gose,BRULO,3.25,3.40,0.5%,Non-Alcoholic - Sour,N/A,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/5-fruit-gose--368313"", ""Beer Page"")",Scotland,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /GzHCTJNQ8OlLCBzg34l8yRO-Fw4=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F87%2F36%2F368313.jpg (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x107027550>: Failed to establish a new connection: [Errno 51] Network is unreachable'))"
Non Alcoholic Speedway Stout,AleSmith Brewing Company,4.75,3.14,0.4%,Non-Alcoholic - Porter / Stout,N/A,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/non-alcoholic-speedway-stout--347848"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /OUinGMhy1AuCGBRUxWqetGTnIFw=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5312877_f887c_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10702d040>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Highway To Hell Lager,BRULO,3.25,3.09,0.5%,Non-Alcoholic - Lager,N/A,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/highway-to-hell-lager--351396"", ""Beer Page"")",Scotland,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /dH_Xrm13ZY50M0mTPxi8Mycx7Gc=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F87%2F35%2F351396.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10702dac0>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Trilorgy TDH NETIPA,Clandestin Beer,7.00,3.99,10%,IPA - Triple New England / Hazy,N/A,"=HYPERLINK(""https://beerizer.com/shop/hellobier/clandestin-beer-trilorgy-tdh-netipa--431741"", ""Beer Page"")",Romania,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /mPe6mgitJYdLFIsG7vWx2Ww1_rE=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F98%2F43%2F431741.png (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x107034520>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Stadsbrouwerij Eindhoven 100 watt Sacre Fleur,100 Watt Brewery,3.10,3.53,5.8%,IPA - Cold,N/A,"=HYPERLINK(""https://beerizer.com/shop/hellobier/stadsbrouwerij-eindhoven-100-watt-sacre-fleur--431740"", ""Beer Page"")",Netherlands,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /FEoX81-DXH8hyuU4HY64mxMluiQ=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F98%2F43%2F431740.png (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10702d790>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Midnight Macchiato Bourbon BA (Silver Series) (2022),Pühaste Brewery,9.95,4.42,15%,Stout - Imperial / Double Coffee,N/A,"=HYPERLINK(""https://beerizer.com/shop/hopsandhopes/midnight-macchiato-bourbon-ba-silver-series-2022--222367"", ""Beer Page"")",Estonia,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /AVFzJAkGZqsv-xwH7tPPnjUfAXQ=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F73%2F22%2F222367.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x107027d00>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Gauloise Blond,Brasserie du Bocq,2.25,3.41,6.3%,Belgian Blonde,N/A,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/gauloise-blond--177481"", ""Beer Page"")",Belgium,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /PBK39190-WsmGYZvMyFUYrJh1xo=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F27%2F17%2F177481.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10701df10>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Uus Maailm,Põhjala,3.50,3.55,4.7%,IPA - Session,N/A,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/pohjala-uus-maailm--359330"", ""Beer Page"")",Estonia,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /9OG5obWoVnD9zPh1dvsyu6W3ams=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F51%2F35%2F359330.png (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x107034250>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Westvleteren Trappist Westvleteren 12,Brouwerij De Sint-Sixtusabdij van Westvleteren,5.75,4.47,10.2%,Belgian Quadrupel,N/A,"=HYPERLINK(""https://beerizer.com/shop/verdins/westvleteren-trappist-westvleteren-12--397574"", ""Beer Page"")",Belgium,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /3qqgIWBOxxDsncWK3nBhurt4psc=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F94%2F39%2F397574.png (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x107034f70>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Will It Float #19,White Dog Brewery,9.30,4.46,6%,Sour - Smoothie / Pastry,N/A,"=HYPERLINK(""https://beerizer.com/shop/verdins/white-dog-will-it-float-19--430597"", ""Beer Page"")",Netherlands,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /nPYHap_M6WRpMdqzFRFGMuqMfZk=/trim/fit-in/100x100/beer-images.beerizer.com%2Fraw%2F94%2F43%2F430597.jpg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x107034e20>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
