Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Folkingebrew | LOST IN THE MIST (Collab with LOST),Folkingebrew,7.50,4.09,7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435206.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/folkingebrew-folkingebrew-lost-in-the-mist-collab-with-lost--435206"", ""Beer Page"")",Netherlands,black,white,
Lost LOST | SUPERDELIC,Brouwerij LOST,6.75,4.09,8.1%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435205.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/lost-lost-superdelic--435205"", ""Beer Page"")",Netherlands,orange,black,
white dog White Dog | RESTING AT THE BOTTOM OF THE OCEAN,White Dog Brewery,7.95,4.41,12%,IPA - Quadruple,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435204.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/white-dog-white-dog-resting-at-the-bottom-of-the-ocean--435204"", ""Beer Page"")",Netherlands,black,white,
white dog White Dog | DELUSIONAL HAZINESS,White Dog Brewery,7.75,4.29,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435203.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/white-dog-white-dog-delusional-haziness--435203"", ""Beer Page"")",Netherlands,dark,white,
Other half Other Half: Triple Citra Daydream,Other Half Brewing Co.,10.50,4.48,10.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435202.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-triple-citra-daydream--435202"", ""Beer Page"")",United States,black,white,
Other half Other Half: All Green Everything,Other Half Brewing Co.,10.50,4.40,10.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435201.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-all-green-everything--435201"", ""Beer Page"")",United States,white,black,
Other half Other Half: Mylar Bags,Other Half Brewing Co.,9.95,4.35,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435197.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-mylar-bags--435197"", ""Beer Page"")",United States,black,white,
Other half Other Half: Hand Truck Heroes,Other Half Brewing Co.,9.95,4.25,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435198.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-hand-truck-heroes--435198"", ""Beer Page"")",United States,dark,white,
Other half Other Half: Mosaic + Nectaron,Other Half Brewing Co.,9.95,4.23,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435199.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-mosaic-nectaron--435199"", ""Beer Page"")",United States,white,black,
Other half Other Half: Green Caps,Other Half Brewing Co.,9.95,4.22,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435196.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-green-caps--435196"", ""Beer Page"")",United States,gray,purple,
Other half Other Half: Digital Vibrations,Other Half Brewing Co.,9.95,4.20,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435200.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-digital-vibrations--435200"", ""Beer Page"")",United States,black,white,
Other half Other Half: Space Dream,Other Half Brewing Co.,8.95,4.18,6%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435193.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-space-dream--435193"", ""Beer Page"")",United States,black,white,
Other half Other Half: Spinach,Other Half Brewing Co.,8.95,4.16,7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F93%2F43%2F435195.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/other-half-other-half-spinach--435195"", ""Beer Page"")",United States,pink,black,
