Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Dark Knight,BramBrass,3.40,3.81,10%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F63%2F30%2F306511.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierbazaar/dark-knight--306511"", ""Beer Page"")",Belgium,gold,black,
Nighty Knight,Galea Craft Beers,4.20,3.77,11.5%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F63%2F34%2F344134.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierbazaar/nighty-knight--344134"", ""Beer Page"")",Belgium,blue,white,
Lervig No Worries Pineapple,LERVIG,2.40,3.11,0.5%,Non-Alcoholic - IPA,beer-images.beerizer.com%2Fraw%2F60%2F10%2F101727.png,"=HYPERLINK(""https://beerizer.com/shop/beermerchants/lervig-no-worries-pineapple--101727"", ""Beer Page"")",Norway,blue,white,
Ruig Russian Imperial Stout,Brouwerij Heft,4.99,3.66,11.5%,Stout - Russian Imperial,beer-images.beerizer.com%2Fraw%2F18%2F38%2F384649.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/ruig-russian-imperial-stout--384649"", ""Beer Page"")",Netherlands,brown,white,
Alle Hens Aan Dek,Brouwerij Homeland,4.79,3.59,8.6%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F18%2F38%2F384648.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/alle-hens-aan-dek--384648"", ""Beer Page"")",Netherlands,white,black,
Trots Tripel,Brouwerij Heft,3.49,3.54,9%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F18%2F38%2F384650.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/trots-tripel--384650"", ""Beer Page"")",Netherlands,brown,white,
Black Master #03 Cognac BA,Brewery De Meester,6.70,4.05,12%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F27%2F38%2F384640.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/de-meester-black-master-03-cognac-ba--384640"", ""Beer Page"")",Belgium,black,yellow,
Barrel-Aged German Chocolate Cupcake TBBW 2019,Angry Chair Brewing,299.99,4.69,11%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-1955126_a2687_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-german-chocolate-cupcake-tbbw-2019--384516"", ""Beer Page"")",United States,black,white,
Sperryville,Aslin Beer Company,99.99,4.65,16.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3206661_0e277_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/sperryville--384624"", ""Beer Page"")",United States,blue,white,
Bourbon:Beans:Cacao B1,Aslin Beer Company,108.99,4.63,16.5%,Stout - Imperial / Double,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-170844_e2a8f.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/bourbonbeanscacao-b1--384567"", ""Beer Page"")",United States,unknown,unknown,
