Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Quaffzilla24 pack,To Øl,93.20,3.54,4.7%,IPA - Session,beer-images.beerizer.com%2Fraw%2F31%2F30%2F309974.jpg,"=HYPERLINK(""https://beerizer.com/shop/tool/quaffzilla-24-pack--309974"", ""Beer Page"")",Denmark,blue,white,
Tropical Rumble24 pack,To Øl,46.80,3.46,4.3%,IPA - Session,beer-images.beerizer.com%2Fraw%2F31%2F30%2F309831.jpg,"=HYPERLINK(""https://beerizer.com/shop/tool/tropical-rumble-24-pack--309831"", ""Beer Page"")",Denmark,white,black,
30 Days - Italian Pilsner24-pack,To Øl,66.40,3.31,5%,Pilsner - Italian,beer-images.beerizer.com%2Fraw%2F31%2F34%2F340521.png,"=HYPERLINK(""https://beerizer.com/shop/tool/30-days-italian-pilsner-24-pack--340521"", ""Beer Page"")",Denmark,white,black,
30 Days - Italian Pilsner12-pack,To Øl,46.80,3.31,5%,Pilsner - Italian,beer-images.beerizer.com%2Fraw%2F31%2F34%2F340523.png,"=HYPERLINK(""https://beerizer.com/shop/tool/30-days-italian-pilsner-12-pack--340523"", ""Beer Page"")",Denmark,white,black,
Tienjarig Jubileumbier - Kingsdeer Double Mash Tripel Limited Edition - 2025,Koningshert,4.79,3.97,10%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F18%2F43%2F433956.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/tienjarig-jubileumbier-kingsdeer-double-mash-tripel-limited-edition-2025--433956"", ""Beer Page"")",Netherlands,green,white,
"Whale Shark Strata, Simcoe, Idaho7",De Kromme Haring,4.50,3.81,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F50%2F43%2F433954.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/whale-shark-strata-simcoe-idaho7--433954"", ""Beer Page"")",Netherlands,white,black,
Dipatout,L'Ermitage,4.20,3.81,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F50%2F43%2F433955.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/dipatout--433955"", ""Beer Page"")",Belgium,yellow,red,
Bora,De Kromme Haring,6.74,3.76,7%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F95%2F42%2F424100.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/bora--424100"", ""Beer Page"")",Netherlands,yellow,black,
Rommelaar,Brouwerij de HopHemel,2.80,3.70,6.5%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F50%2F43%2F433953.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/rommelaar--433953"", ""Beer Page"")",Belgium,white,black,
Agata Basilicum Gose,Brouwerij de HopHemel,2.80,3.52,5.2%,Sour - Other Gose,beer-images.beerizer.com%2Fraw%2F50%2F43%2F433952.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/agata-basilicum-gose--433952"", ""Beer Page"")",Belgium,blue,white,
Khaos Black NEIPA 2.0,Brouwerij de HopHemel,3.35,3.81,7%,IPA - Black / Cascadian Dark Ale,beer-images.beerizer.com%2Fraw%2F50%2F43%2F433951.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/khaos-black-neipa-20--433951"", ""Beer Page"")",Belgium,blue,gold,
Klasycznie English Bitter,Maryensztadt,2.60,3.64,3.9%,Bitter - Session / Ordinary,beer-images.beerizer.com%2Fraw%2F65%2F43%2F433945.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/klasycznie-english-bitter--433945"", ""Beer Page"")",Poland,white,blue,
Freeky Citrus IPA,Maryensztadt,2.80,3.51,0.5%,Non-Alcoholic - IPA,beer-images.beerizer.com%2Fraw%2F65%2F43%2F433943.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/freeky-citrus-ipa--433943"", ""Beer Page"")",Poland,blue,white,
