Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Westmalle Dubbel,Brouwerij der Trappisten van Westmalle,3.03,3.69,7%,Belgian Dubbel,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90481.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/westmalle-dubbel--90481"", ""Beer Page"")",Belgium,white,red,
Orval,Brasserie d'Orval,3.72,3.67,6.2%,Pale Ale - Belgian,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90491.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/orval--90491"", ""Beer Page"")",Belgium,blue,white,
Dolina,The Garden Brewery,4.84,3.66,7.1%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F53%2F28%2F286819.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/the-garden-brewery-dolina--286819"", ""Beer Page"")",Croatia,white,black,
Dubuison Bush Caractére,Brasserie Dubuisson,3.77,3.61,12%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90510.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/dubuison-bush-caractere--90510"", ""Beer Page"")",Belgium,white,black,
Kasteel Rouge,Kasteel Brouwerij Vanhonsebrouck,3.15,3.59,8%,Fruit Beer,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90501.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/kasteel-rouge--90501"", ""Beer Page"")",Belgium,white,black,
Blonde,Abbaye de Leffe,1.55,3.58,6.6%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90512.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/leffe-blonde--90512"", ""Beer Page"")",Belgium,light beige,dark brown,
Zichovec Summer Vibes,Rodinný Pivovar Zichovec,5.38,3.56,4.1%,IPA - Session,beer-images.beerizer.com%2Fraw%2F53%2F28%2F288143.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/zichovec-summer-vibes--288143"", ""Beer Page"")",Czech Republic,white,black,
Nero,The Garden Brewery,2.62,3.55,5.7%,Stout - Milk / Sweet,beer-images.beerizer.com%2Fraw%2F53%2F28%2F286830.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/the-garden-brewery-nero--286830"", ""Beer Page"")",Croatia,white,black,
Yuzu Samuray,Nilio Brewery,3.30,3.44,0.5%,Non-Alcoholic - IPA,beer-images.beerizer.com%2Fraw%2F53%2F18%2F183948.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/nilio-yuzu-samuray--183948"", ""Beer Page"")",Slovakia,white,black,
Kojetín Podpantoflák,Měšťanský pivovar Kojetín,4.91,3.42,6%,IPA - American,beer-images.beerizer.com%2Fraw%2F53%2F27%2F278108.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/kojetin-podpantoflak--278108"", ""Beer Page"")",Czech Republic,blue,white,
Biolegére,Brasserie Dupont,2.20,2.95,3.5%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F53%2F12%2F128710.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/dupont-biolegere--128710"", ""Beer Page"")",Belgium,white,black,
