Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
"Dock 106 - Citra, Peacharine & Nelson Sauvin",Le Ketch,12.50,4.35,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433225.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/dock-106-citra-peacharine-nelson-sauvin--433225"", ""Beer Page"")",Canada,white,blue,
Dock 108,Le Ketch,10.95,4.35,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433227.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/dock-108--433227"", ""Beer Page"")",Canada,blue,white,
Hot Cakes #8,Pulfer Brewery,9.25,4.35,4.5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433415.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/hot-cakes-8--433415"", ""Beer Page"")",Croatia,purple,white,
Fros'e Double Marshmallow,Kings Brewing Company,12.95,4.35,7%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433213.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/frose-double-marshmallow--433213"", ""Beer Page"")",United States,white,black,
NZ Gold,BreWskey,11.95,4.35,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432967.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/nz-gold--432967"", ""Beer Page"")",Canada,black,yellow,
Summer '22 (2020),Bofkont,59.95,4.35,6%,Lambic - Fruit,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432907.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/summer-22-2020--432907"", ""Beer Page"")",Belgium,white,black,
Ogre,BreWskey,11.95,4.35,11.5%,IPA - Quadruple,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432968.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/ogre--432968"", ""Beer Page"")",Canada,blue,yellow,
Unum Scurra,Brasserie du Bas-Canada,12.50,4.35,10%,IPA - Triple,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432957.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/unum-scurra--432957"", ""Beer Page"")",Canada,blue,white,
4 Year Aged Brewer's Reserve Bourbon Barrel Barleywine,Central Waters Brewing Company,11.95,4.35,14.5%,Barleywine - American,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433027.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/4-year-aged-brewers-reserve-bourbon-barrel-barleywine--433027"", ""Beer Page"")",United States,red,white,
TDH Bedlam,Revenant Brewing Project,8.95,4.35,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433419.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/tdh-bedlam--433419"", ""Beer Page"")",Finland,white,black,
Double Black Mash 2025,Amager Bryghus,15.95,4.34,12.2%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432771.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/double-black-mash-2025--432771"", ""Beer Page"")",Denmark,dark,purple,
Double Stack,Great Notion Brewing,13.50,4.34,11%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433158.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/double-stack--433158"", ""Beer Page"")",United States,gold,black,
Midnight Macchiato Bourbon BA (2025) (silver series),Pühaste Brewery,9.95,4.34,15%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F99%2F43%2F433408.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/midnight-macchiato-bourbon-ba-2025-silver-series--433408"", ""Beer Page"")",Estonia,silver,black,
3 Fonteinen x De Cam Geuze,Brouwerij 3 Fonteinen,59.95,4.34,7.3%,Lambic - Gueuze,beer-images.beerizer.com%2Fraw%2F99%2F43%2F432999.png,"=HYPERLINK(""https://beerizer.com/shop/hoppenaar/3-fonteinen-x-de-cam-geuze--432999"", ""Beer Page"")",Belgium,white,black,
