Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Browar Stu Mostów x Moersleutel X Anniversary 8/10 Imperial Stout BBA Tiramisu,Browar Stu Mostów,12.25,4.27,11%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F27%2F39%2F398919.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/browar-stu-mostow-x-moersleutel-x-anniversary-810-imperial-stout-bba-tiramisu--398919"", ""Beer Page"")",Poland,blue,red,
Vleteren Alt,Deca Brouwerij,2.35,3.48,8%,Belgian Dubbel,beer-images.beerizer.com%2Fraw%2F27%2F32%2F325534.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/deca-vleteren-alt--325534"", ""Beer Page"")",Belgium,white,black,
MIRACLE DOUBLE IPA,To Øl,5.49,3.86,8.3%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F75%2F41%2F411330.png,"=HYPERLINK(""https://beerizer.com/shop/rebelbeercans/miracle-double-ipa--411330"", ""Beer Page"")",Denmark,blue,pink,
Pulpy,La Débauche,7.49,3.85,10%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F75%2F41%2F411328.png,"=HYPERLINK(""https://beerizer.com/shop/rebelbeercans/pulpy--411328"", ""Beer Page"")",France,dark,white,
Battle Royale – BombaCrop II Citra,KOMPAAN Dutch Craft Beer Company,5.79,3.72,6%,IPA - American,beer-images.beerizer.com%2Fraw%2F75%2F41%2F411341.png,"=HYPERLINK(""https://beerizer.com/shop/rebelbeercans/battle-royale-bombacrop-ii-citra--411341"", ""Beer Page"")",Netherlands,dark,gold,
Redemption of Vanity (2024),Azvex Brewing Company,13.80,4.35,13%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411322.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/redemption-of-vanity-2024--411322"", ""Beer Page"")",England,gold,black,
Narcissus & Goldmund 2024,Pomona Island Brew Co.,21.10,4.20,10%,Barleywine - English,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411327.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/narcissus-goldmund-2024--411327"", ""Beer Page"")",England,yellow,black,
Ārpus X Pinta Barrel Brewing Cognac Barrel Aged Vanilla Stout,Ārpus Brewing Co.,10.60,4.14,13%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411315.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/arpus-x-pinta-barrel-brewing-cognac-barrel-aged-vanilla-stout--411315"", ""Beer Page"")",Latvia,yellow,black,
Development Hell 6,Azvex Brewing Company,6.30,4.09,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411321.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/development-hell-6--411321"", ""Beer Page"")",England,dark,white,
Future Baker,Fermenterarna,8.50,4.07,9.2%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411324.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/future-baker--411324"", ""Beer Page"")",Sweden,gold,red,
Buffy,Stigbergets Bryggeri,8.50,4.01,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411311.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/buffy--411311"", ""Beer Page"")",Sweden,green,white,
Sprout Storage,Fermenterarna,7.40,3.88,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411323.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/sprout-storage--411323"", ""Beer Page"")",Sweden,yellow,black,
Jam Juice,Fermenterarna,7.40,3.84,5.6%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F91%2F41%2F411325.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/jam-juice--411325"", ""Beer Page"")",Sweden,white,black,
