Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
de Kievit Zundert 10 10%,Trappistenbrouwerij de Kievit B.V.,3.40,3.75,10%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434220.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/de-kievit-zundert-10-10--434220"", ""Beer Page"")",Netherlands,white,black,
Kees - Hazy Sunrise,Brouwerij Kees,3.95,3.72,7.1%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426251.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/kees-kees-hazy-sunrise--426251"", ""Beer Page"")",Netherlands,red,white,
Duvel,Duvel Moortgat,2.85,3.72,8%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434216.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/duvel-moortgat-duvel--434216"", ""Beer Page"")",Belgium,brown,white,
Duvel Moortgat,Duvel Moortgat,8.45,3.72,8.5%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434226.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/duvel-moortgat-duvel-moortgat--434226"", ""Beer Page"")",Belgium,white,black,
Franziskaner Franziskaner Hefe Weisse,Spaten-Franziskaner-Löwenbräu-Gruppe,2.60,3.69,5%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434212.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/franziskaner-franziskaner-hefe-weisse--434212"", ""Beer Page"")",Germany,brown,yellow,
't Ij IJwit 6.5% witbier,Brouwerij 't IJ,3.00,3.68,6.5%,Wheat Beer - Witbier / Blanche,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426110.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/t-ij-ijwit-65-witbier--426110"", ""Beer Page"")",Netherlands,gold,black,
La Trappe La Trappe Blond,Bierbrouwerij De Koningshoeven,2.35,3.67,6.5%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426005.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/la-trappe-la-trappe-blond--426005"", ""Beer Page"")",Netherlands,white,black,
Tynt Meadow,Mount Saint Bernard Abbey,4.15,3.65,7.4%,Strong Ale - English,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434223.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/mount-saint-bernard-abbey-tynt-meadow--434223"", ""Beer Page"")",England,dark,white,
Bruut Bruut Gajes,Bruut Bier,3.20,3.63,8%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434219.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/bruut-bruut-gajes--434219"", ""Beer Page"")",Netherlands,black,white,
Paix Dieu Nova,Brasserie Caulier,3.75,3.62,6%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F98%2F43%2F430662.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/caulier-paix-dieu-nova--430662"", ""Beer Page"")",Belgium,white,black,
