Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
PUNK FLOYD,Clandestin Beer,4.96,3.94,7%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F95%2F42%2F425606.jpg,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/punk-floyd--425606"", ""Beer Page"")",Romania,pink,white,
Catharsis #2,La Calavera,13.49,3.94,11%,Sour - Other,beer-images.beerizer.com%2Fraw%2F95%2F42%2F425412.jpg,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/catharsis-2--425412"", ""Beer Page"")",Spain,black,gold,
"Good Heart, Soft Touch, Fast Horse",Pomona Island Brew Co.,6.24,3.94,5.2%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F42%2F425512.jpg,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/good-heart-soft-touch-fast-horse--425512"", ""Beer Page"")",England,beige,black,
Last Christmas,Vault City Brewing,6.64,3.94,4.1%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F95%2F42%2F425194.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/last-christmas--425194"", ""Beer Page"")",Scotland,blue,white,
Chiseled,Revenant Brewing Project,6.24,3.93,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F40%2F406706.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/chiseled--406706"", ""Beer Page"")",Finland,black,white,
Game Over: Nitro,Funky Fluid,5.84,3.93,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F42%2F427247.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/game-over-nitro--427247"", ""Beer Page"")",Poland,black,white,
Welcome Back Freaks,Sudden Death Brewing Co.,6.74,3.93,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F41%2F414921.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/welcome-back-freaks--414921"", ""Beer Page"")",Germany,black,red,
Klap van de Molen,Menno Olivier Brewing,4.79,3.92,12%,Strong Ale - Other,beer-images.beerizer.com%2Fraw%2F95%2F43%2F431200.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/klap-van-de-molen--431200"", ""Beer Page"")",Spain,black,white,
Discovery Europe: Greece,Browar PINTA,5.64,3.92,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F40%2F409545.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/discovery-europe-greece--409545"", ""Beer Page"")",Poland,white,black,
Barbason the Beast,Amager Bryghus,7.10,3.92,12%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F95%2F42%2F421959.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/barbason-the-beast--421959"", ""Beer Page"")",Denmark,blue,white,
