Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
The Right Time,Track Brewing Company,9.50,4.10,6.8%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F91%2F43%2F434505.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/the-right-time--434505"", ""Beer Page"")",England,gold,green,
Reverie,Track Brewing Company,11.70,4.04,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F91%2F43%2F434503.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/reverie--434503"", ""Beer Page"")",England,red,white,
Way Below,Track Brewing Company,8.50,3.98,5.3%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F91%2F43%2F434507.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/way-below--434507"", ""Beer Page"")",England,yellow,white,
On And On (Gluten Free),Track Brewing Company,7.40,3.88,5.3%,Gluten-Free,beer-images.beerizer.com%2Fraw%2F91%2F43%2F434506.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/on-and-on-gluten-free--434506"", ""Beer Page"")",England,orange,black,
Track / Orchestrated Minds - Out Beyond,Track Brewing Company,10.80,4.24,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F22%2F43%2F430108.jpg,"=HYPERLINK(""https://beerizer.com/shop/ghostwhale/track-orchestrated-minds-out-beyond--430108"", ""Beer Page"")",England,purple,white,
TrueGerz Sun of a Peach,TrueGerz Gerilla Brewing,5.10,4.07,6.2%,IPA - New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6327268_61e6a_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/beerselection/truegerz-sun-of-a-peach--434500"", ""Beer Page"")",Hungary,blue,white,
Ugar Brewery F**k Your Pils,UGAR Brewery,5.00,3.64,5.6%,IPA - Cold,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5265890_d86af_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/beerselection/ugar-brewery-fk-your-pils--276001"", ""Beer Page"")",Hungary,green,white,
Galactic Storm,Tree House Brewing Company,21.99,4.36,8.8%,IPA - Imperial / Double,beer-images.beerizer.com%2Fraw%2F95%2F43%2F434498.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/galactic-storm--434498"", ""Beer Page"")",United States,blue,white,
Oakham Green Devil,Oakham Ales,4.20,3.71,6%,IPA - American,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90547.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/oakham-green-devil--90547"", ""Beer Page"")",England,red,white,
Kasteel Donker,Kasteel Brouwerij Vanhonsebrouck,3.28,3.64,11%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F53%2F9%2F90495.jpg,"=HYPERLINK(""https://beerizer.com/shop/drinkonline/kasteel-donker--90495"", ""Beer Page"")",Belgium,white,black,
