Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Zeezuiper,Scheldebrouwerij,3.30,3.65,8%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F48%2F8%2F80103.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierloods22/zeezuiper--80103"", ""Beer Page"")",Belgium,white,black,
Saint Lamvinus 2024,Brasserie Cantillon,19.95,4.23,7.5%,Lambic - Fruit,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5797176_d2b15_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/cantillon-saint-lamvinus-2024--418977"", ""Beer Page"")",Belgium,white,black,
BEAK x Uchu - Cosm,Beak Brewery,7.90,4.07,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F27%2F42%2F426849.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/beak-x-uchu-cosm--426849"", ""Beer Page"")",England,blue,white,
BEAK x FLOC. Threads 4,Beak Brewery,7.75,4.04,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F27%2F42%2F426852.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/beak-x-floc-threads-4--426852"", ""Beer Page"")",England,blue,white,
FLOC. x BEAK Threads 3,Floc.,7.90,4.00,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F27%2F42%2F426851.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/floc-x-beak-threads-3--426851"", ""Beer Page"")",England,blue,yellow,
Apocrypha: Blackcurrant Brandy Barrel Aged Vanilla 2025 Purple Wax,Hop Hooligans,11.50,4.16,15.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6296773_1a87b_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/apocrypha-blackcurrant-brandy-barrel-aged-vanilla-2025-purple-wax--426841"", ""Beer Page"")",Romania,blue,white,
BEAK Panna,Beak Brewery,10.35,4.05,6%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F27%2F42%2F426840.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/beak-panna--426840"", ""Beer Page"")",England,black,white,
Left Handed Giant x Stigbergets BERGELMIR,Left Handed Giant Brewing,9.60,3.96,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F27%2F42%2F426836.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/left-handed-giant-x-stigbergets-bergelmir--426836"", ""Beer Page"")",England,blue,white,
Left Handed Giant x Fieldwork TENOCH,Left Handed Giant Brewing,7.10,3.90,7.4%,IPA - American,beer-images.beerizer.com%2Fraw%2F27%2F42%2F426832.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/left-handed-giant-x-fieldwork-tenoch--426832"", ""Beer Page"")",England,white,black,
Everglow,Ophiussa Brewing Co.,8.50,4.17,5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F48%2F42%2F426808.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierloods22/everglow--426808"", ""Beer Page"")",Portugal,pink,white,
Momotarō,Ophiussa Brewing Co.,8.50,4.14,5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F48%2F42%2F426806.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierloods22/momotaro--426806"", ""Beer Page"")",Portugal,blue,white,
