Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Superdelic,Brouwerij LOST,6.29,4.09,8.1%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F43%2F434652.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/superdelic--434652"", ""Beer Page"")",Netherlands,white,black,
Sweet Revenge of Mother Nature,Nemeton Brewing,39.99,4.09,11%,Mead - Melomel,beer-images.beerizer.com%2Fraw%2F95%2F43%2F434654.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/sweet-revenge-of-mother-nature--434654"", ""Beer Page"")",Netherlands,brown,gold,
KoJoYo,Brouwerij Halve Tamme,7.29,4.03,9%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F95%2F43%2F434655.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/kojoyo--434655"", ""Beer Page"")",Netherlands,black,gold,
Steady Glow,Tree House Brewing Company,21.99,4.29,8.3%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F43%2F434644.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/steady-glow--434644"", ""Beer Page"")",United States,black,white,
Daze,Tree House Brewing Company,21.99,4.24,6.9%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F43%2F434643.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/daze--434643"", ""Beer Page"")",United States,purple,white,
Ridgeback,Brouwerij Frontaal,3.95,3.79,10%,Barleywine - American,beer-images.beerizer.com%2Fraw%2F51%2F42%2F428409.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/frontaal-ridgeback--428409"", ""Beer Page"")",Netherlands,orange,white,
Stadsbrouwerij van Kollenburg Pipa,Stadsbrouwerij Van Kollenburg,3.45,3.60,6%,IPA - Fruited,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434641.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/stadsbrouwerij-van-kollenburg-pipa--434641"", ""Beer Page"")",Netherlands,white,black,
Stadsbrouwerij van Kollenburg Jheronimus,Stadsbrouwerij Van Kollenburg,3.35,3.54,7%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434640.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/stadsbrouwerij-van-kollenburg-jheronimus--434640"", ""Beer Page"")",Netherlands,white,blue,
Stadsbrouwerij van Kollenburg Kolleke Opa Jan,Stadsbrouwerij Van Kollenburg,3.45,3.34,8.5%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434642.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/stadsbrouwerij-van-kollenburg-kolleke-opa-jan--434642"", ""Beer Page"")",Netherlands,white,black,
Stadsbrouwerij van Kollenburg Kolleke Jonge Jan,Stadsbrouwerij Van Kollenburg,3.15,3.17,5.5%,Wheat Beer - Witbier / Blanche,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434637.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/stadsbrouwerij-van-kollenburg-kolleke-jonge-jan--434637"", ""Beer Page"")",Netherlands,blue,white,
Stadsbrouwerij van Kollenburg Oude Jan,Stadsbrouwerij Van Kollenburg,3.30,3.07,7%,Brown Ale - Belgian,beer-images.beerizer.com%2Fraw%2F98%2F43%2F434638.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/stadsbrouwerij-van-kollenburg-oude-jan--434638"", ""Beer Page"")",Netherlands,gold,black,
First Blueberry Ale,FIRST Craft Beer,3.40,3.53,4.5%,Fruit Beer,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2191066_e9d70_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/beerselection/first-blueberry-ale--267929"", ""Beer Page"")",Hungary,purple,white,
