Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Raissa 2025,Arbànt,21.10,3.92,4.8%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F91%2F40%2F406822.jpg,"=HYPERLINK(""https://beerizer.com/shop/icderladen/raissa-2025--406822"", ""Beer Page"")",Switzerland,orange,white,
Spaten Munich Helles,Spaten-Franziskaner-Löwenbräu-Gruppe,4.40,3.39,5.2%,Lager - Helles,beer-images.beerizer.com%2Fraw%2F60%2F29%2F295686.png,"=HYPERLINK(""https://beerizer.com/shop/beermerchants/spaten-munich-helles--295686"", ""Beer Page"")",Germany,white,black,
Top of the Broc,Other Half Brewing Co.,10.99,4.12,6%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F42%2F428947.png,"=HYPERLINK(""https://beerizer.com/shop/verdins/other-half-top-of-the-broc--428947"", ""Beer Page"")",United States,black,yellow,
Rabe,Other Half Brewing Co.,9.50,4.03,5.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F42%2F428946.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/other-half-rabe--428946"", ""Beer Page"")",United States,white,black,
Gelato Sourpuss Strawberry &  Mojito,Hop Hooligans,9.75,3.96,6%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F94%2F42%2F428944.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/hop-hooligans-gelato-sourpuss-strawberry-mojito--428944"", ""Beer Page"")",Romania,blue,white,
Abelu Drava,Labietis,10.00,3.66,6.9%,Mead - Other,beer-images.beerizer.com%2Fraw%2F94%2F42%2F428945.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/labietis-abelu-drava--428945"", ""Beer Page"")",Latvia,brown,white,
Cuvee Clarisse Whisky Infused 10.2%,Brouwerij Wilderen,3.50,3.74,10.2%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F98%2F42%2F428939.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/wilderen-cuvee-clarisse-whisky-infused-102--428939"", ""Beer Page"")",Belgium,white,purple,
Tripel Kanunnik 8.2%,Brouwerij Wilderen,2.90,3.67,8.2%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F98%2F42%2F428938.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/wilderen-tripel-kanunnik-82--428938"", ""Beer Page"")",Belgium,white,black,
Cuvée Clarisse Rum Liquor Infused,Brouwerij Wilderen,3.50,3.65,11.2%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F98%2F42%2F428940.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/wilderen-cuvee-clarisse-rum-liquor-infused--428940"", ""Beer Page"")",Belgium,white,black,
Brewery Kapittel Tripel,Leroy Breweries,2.60,3.53,10%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F98%2F42%2F428937.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/leroy-brewery-kapittel-tripel--428937"", ""Beer Page"")",Belgium,orange,white,
Tripel B,Brouwerij Kairos,3.85,3.48,8.5%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F98%2F42%2F428941.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/kairos-tripel-b--428941"", ""Beer Page"")",Netherlands,blue,white,
Forest Blond,Brouwerij Kairos,3.85,3.39,6.47%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F98%2F42%2F428942.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/kairos-forest-blond--428942"", ""Beer Page"")",Netherlands,gold,white,
