Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Jaipur,Thornbridge Brewery,3.29,3.54,5.9%,IPA - American,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429980.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/jaipur--429980"", ""Beer Page"")",England,red,white,
Brock,Thornbridge Brewery,5.99,3.54,4.1%,Stout - Other,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429833.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/brock--429833"", ""Beer Page"")",England,black,white,
Bouquet Brown,Mikkeller,4.29,3.54,4.6%,Brown Ale - American,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429827.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/bouquet-brown--429827"", ""Beer Page"")",Denmark,gold,white,
heimkehr,orca brau,3.29,3.53,5.5%,Lager - Munich Dunkel,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429721.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/heimkehr--429721"", ""Beer Page"")",Germany,white,black,
Miami Grove,Kehrwieder Kreativbrauerei,2.99,3.53,0.4%,Non-Alcoholic - Pale Ale,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429548.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/miami-grove--429548"", ""Beer Page"")",Germany,white,black,
easy there bear,orca brau,4.49,3.53,6.5%,Porter - Other,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429615.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/easy-there-bear--429615"", ""Beer Page"")",Germany,white,black,
Kriek,Brouwerij Boon,3.29,3.52,4%,Lambic - Kriek,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429868.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/kriek--429868"", ""Beer Page"")",Belgium,white,black,
Sun City,Põhjala,6.99,3.52,5%,Sour - Fruited Berliner Weisse,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429516.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/sun-city--429516"", ""Beer Page"")",Estonia,green,white,
Pilot #48 Falscher Apfel,BrewDog Deutschland,3.09,3.52,7.1%,IPA - Fruited,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429477.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/pilot-48-falscher-apfel--429477"", ""Beer Page"")",Germany,pink,white,
Kellerbier,Brauerei Hummel,2.49,3.52,4.9%,Kellerbier / Zwickelbier,beer-images.beerizer.com%2Fraw%2F12%2F43%2F430016.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/kellerbier--430016"", ""Beer Page"")",Germany,white,black,
Wingman Pale Ale,BrewDog Deutschland,2.29,3.51,4.2%,Pale Ale - American,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429823.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/wingman-pale-ale--429823"", ""Beer Page"")",Germany,white,black,
Ripple Effect,Mikkeller,5.49,3.51,4.7%,IPA - Session,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429885.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/ripple-effect--429885"", ""Beer Page"")",Denmark,blue,white,
Märzen,Brauerei Hummel,2.59,3.51,5.4%,Märzen,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429553.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/marzen--429553"", ""Beer Page"")",Germany,white,black,
"Sun, Sea & Juice",Northern Monk,5.59,3.51,6%,IPA - Fruited,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429818.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/sun-sea-juice--429818"", ""Beer Page"")",England,green,white,
L'Ippa,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendente Italian Farm Brewery,4.49,3.51,5.5%,IPA - Other,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429592.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/lippa--429592"", ""Beer Page"")",Italy,gold,black,
House Party,LERVIG,3.29,3.51,4%,IPA - Session,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429556.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/house-party--429556"", ""Beer Page"")",Norway,blue,white,
Urban IPA,Brauerei Gebr. Maisel,2.29,3.50,5.6%,IPA - American,beer-images.beerizer.com%2Fraw%2F12%2F43%2F430009.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/urban-ipa--430009"", ""Beer Page"")",Germany,white,black,
Import,Basqueland Brewing,5.29,3.50,5.2%,Lager - Dortmunder / Export,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429779.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/import--429779"", ""Beer Page"")",Spain,blue,white,
Blond,Uiltje Brewing Company,3.69,3.50,6%,Blonde / Golden Ale - Other,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429687.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/blond--429687"", ""Beer Page"")",Netherlands,white,black,
Burst IPA,Mikkeller,3.39,3.50,5.5%,IPA - American,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429693.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/burst-ipa--429693"", ""Beer Page"")",Denmark,purple,white,
Funky Falcon,Two Chefs Brewing,3.69,3.50,5.2%,Pale Ale - American,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429565.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/funky-falcon--429565"", ""Beer Page"")",Netherlands,yellow,black,
Atomic Distortion,Schwarze Rose,6.99,3.50,6.3%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429856.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/atomic-distortion--429856"", ""Beer Page"")",Germany,white,black,
Noa Pecan Mud Cake Non-Alcoholic Stout,Omnipollo,5.99,3.50,0.5%,Non-Alcoholic - Porter / Stout,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429567.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/noa-pecan-mud-cake-non-alcoholic-stout--429567"", ""Beer Page"")",Sweden,yellow,black,
Apple,Brouwerij Lindemans,2.99,3.49,3.5%,Lambic - Fruit,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429725.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/apple--429725"", ""Beer Page"")",Belgium,white,black,
Duivelsbier,Brouwerij Boon,3.99,3.49,8%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F12%2F43%2F430017.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/duivelsbier--430017"", ""Beer Page"")",Belgium,black,white,
Baja,Brauhaus Bevog,4.89,3.49,5.8%,Stout - Oatmeal,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429608.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/baja--429608"", ""Beer Page"")",Austria,green,gold,
Amerikanischer Traum,Landgang Brauerei,2.99,3.49,6.5%,IPA - American,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429568.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/amerikanischer-traum--429568"", ""Beer Page"")",Germany,blue,white,
Das Helle,Wolfscraft,2.09,3.49,4.9%,Lager - Helles,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429476.jpg,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/das-helle--429476"", ""Beer Page"")",Germany,black,white,
Punk IPA im 12er Sparpaket,BrewDog Deutschland,24.95,3.48,5.4%,IPA - American,beer-images.beerizer.com%2Fraw%2F12%2F42%2F429419.png,"=HYPERLINK(""https://beerizer.com/shop/beyond_beer/punk-ipa-im-12er-sparpaket--429419"", ""Beer Page"")",Germany,blue,white,
