Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Induktor,Browar Wielka Sowa,3.00,3.58,5.8%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F65%2F27%2F271817.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/induktor--271817"", ""Beer Page"")",Poland,white,black,
No Show Plumber - keykeg,Dok Brewing Company,171.30,3.56,8%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F65%2F37%2F370495.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/no-show-plumber-keykeg--370495"", ""Beer Page"")",Belgium,white,black,
Shelter.,Moon Lark Brewery,2.70,3.56,5.2%,Pilsner - German,beer-images.beerizer.com%2Fraw%2F65%2F26%2F263937.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/shelter--263937"", ""Beer Page"")",Poland,black,white,
Sowie Bezalkoholowe APA,Browar Wielka Sowa,2.70,3.48,0.5%,Non-Alcoholic - Pale Ale,beer-images.beerizer.com%2Fraw%2F65%2F37%2F376769.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/sowie-bezalkoholowe-apa--376769"", ""Beer Page"")",Poland,black,white,
Bateria,Browar Wielka Sowa,3.00,3.44,4.9%,Lager - IPL (India Pale Lager),beer-images.beerizer.com%2Fraw%2F65%2F27%2F271818.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/bateria--271818"", ""Beer Page"")",Poland,blue,white,
Per ziek lekker Pineau des Charentes BA - keg,Dok Brewing Company,185.60,3.40,16.5%,Mead - Braggot,beer-images.beerizer.com%2Fraw%2F65%2F37%2F370497.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/per-ziek-lekker-pineau-des-charentes-ba-keg--370497"", ""Beer Page"")",Belgium,white,black,
Sowie Marcowe,Browar Wielka Sowa,2.70,3.35,6.3%,Märzen,beer-images.beerizer.com%2Fraw%2F65%2F27%2F271821.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/sowie-marcowe--271821"", ""Beer Page"")",Poland,red,white,
Freeky Orange,Maryensztadt,2.50,3.34,0.5%,Non-Alcoholic - Pale Ale,beer-images.beerizer.com%2Fraw%2F65%2F37%2F370499.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/freeky-orange--370499"", ""Beer Page"")",Poland,orange,white,
Sowie Pszeniczne z Mango i Marakują,Browar Wielka Sowa,3.00,3.31,4.9%,Wheat Beer - Fruited,beer-images.beerizer.com%2Fraw%2F65%2F27%2F271822.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/sowie-pszeniczne-z-mango-i-marakuja--271822"", ""Beer Page"")",Poland,white,black,
Graper,Browar Wielka Sowa,2.90,3.30,4.9%,Grape Ale - Other,beer-images.beerizer.com%2Fraw%2F65%2F27%2F271816.jpg,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/graper--271816"", ""Beer Page"")",Poland,white,black,
Leche Guevara,Clandestin Beer,8.50,3.71,11%,Stout - Milk / Sweet,beer-images.beerizer.com%2Fraw%2F94%2F42%2F427992.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/clandestin-leche-guevara--427992"", ""Beer Page"")",Romania,red,white,
Elo Rafał,Magic Road,7.50,4.20,4.9%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427985.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/magic-road-elo-rafal--427985"", ""Beer Page"")",Poland,white,black,
Yalla Habibi 2.0,Magic Road,7.50,4.04,5%,Spiced / Herbed Beer,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427987.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/magic-road-yalla-habibi-20--427987"", ""Beer Page"")",Poland,blue,white,
YATAI,Magic Road,7.50,3.96,5%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427988.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/magic-road-yatai--427988"", ""Beer Page"")",Poland,green,white,
Rioazul Fountain Of Youth,RIOAZUL,6.25,3.94,7.1%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427989.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/rioazul-fountain-of-youth--427989"", ""Beer Page"")",Spain,white,black,
Big Bunny,Kinnegar Brewing,5.50,3.74,6%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427983.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/kinnegar-brewing-big-bunny--427983"", ""Beer Page"")",Ireland,green,white,
Rioazul Kill Your Idols,RIOAZUL,5.99,3.73,5%,IPA - Session,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427991.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/rioazul-kill-your-idols--427991"", ""Beer Page"")",Spain,black,white,
Scraggy Bay,Kinnegar Brewing,4.99,3.68,5.3%,IPA - American,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427984.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/kinnegar-brewing-scraggy-bay--427984"", ""Beer Page"")",Ireland,white,black,
Rioazul Hyperliquid,RIOAZUL,5.99,3.60,6.2%,IPA - American,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427990.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/rioazul-hyperliquid--427990"", ""Beer Page"")",Spain,white,black,
Mi Gente,Magic Road,6.99,3.46,6.2%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F68%2F42%2F427986.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/magic-road-mi-gente--427986"", ""Beer Page"")",Poland,white,black,
TRANSFORMERS Operation Warfare,Adroit Theory,43.20,4.10,8.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F21%2F42%2F427982.jpg,"=HYPERLINK(""https://beerizer.com/shop/premierhop/transformers-operation-warfare--427982"", ""Beer Page"")",United States,white,black,
