Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
BA Espresso Martini Empress Tonkoko 2025,Brew York,9.60,4.25,10.6%,Stout - Imperial / Double Coffee,beer-images.beerizer.com%2Fraw%2F55%2F38%2F388993.jpg,"=HYPERLINK(""https://beerizer.com/shop/radbeer/brew-york-ba-espresso-martini-empress-tonkoko-2025--388993"", ""Beer Page"")",England,black,white,
Les Dunes D'Ostende,Terra Tempo Brewing,18.40,4.02,7%,Wild Ale - American,beer-images.beerizer.com%2Fraw%2F55%2F38%2F388995.jpg,"=HYPERLINK(""https://beerizer.com/shop/radbeer/terra-tempo-les-dunes-dostende--388995"", ""Beer Page"")",England,pink,white,
Triple Hazy Jane Imperial New England IPA,BrewDog,4.90,3.83,9.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F36%2F10%2F109704.png,"=HYPERLINK(""https://beerizer.com/shop/melgers/triple-hazy-jane-imperial-new-england-ipa--109704"", ""Beer Page"")",Scotland,blue,white,
Sans Pardon Russian Imperial Stout,Brouwerij De Dochter van de Korenaar,4.75,3.82,11%,Stout - Russian Imperial,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-990955_b0923_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/sans-pardon-russian-imperial-stout--308356"", ""Beer Page"")",Belgium,blue,white,
Bière Brut,Brouwerij Malheur,22.95,3.76,11%,Bière de Champagne / Bière Brut,beer-images.beerizer.com%2Fraw%2F36%2F6%2F62680.png,"=HYPERLINK(""https://beerizer.com/shop/melgers/biere-brut--62680"", ""Beer Page"")",Belgium,white,black,
Rood Premiere Dubbel,Bières de Chimay,6.65,3.72,7%,Belgian Dubbel,beer-images.beerizer.com%2Fraw%2F36%2F5%2F58037.png,"=HYPERLINK(""https://beerizer.com/shop/melgers/rood-premiere-dubbel--58037"", ""Beer Page"")",Belgium,white,black,
Het Blonde Hert Blond,Bennebroecks,3.10,3.45,5.5%,Blonde / Golden Ale - Other,beer-images.beerizer.com%2Fraw%2F36%2F5%2F58789.png,"=HYPERLINK(""https://beerizer.com/shop/melgers/het-blonde-hert-blond--58789"", ""Beer Page"")",Netherlands,white,black,
Kerel Dark IPA,VBDCK Brewery,3.25,3.45,6.6%,IPA - Black / Cascadian Dark Ale,beer-images.beerizer.com%2Fraw%2F36%2F5%2F57916.png,"=HYPERLINK(""https://beerizer.com/shop/melgers/kerel-dark-ipa--57916"", ""Beer Page"")",Belgium,dark_blue,red,
Het Edele hert Barleywine,Bennebroecks,3.45,3.36,7.5%,Barleywine - American,beer-images.beerizer.com%2Fraw%2F36%2F5%2F58308.png,"=HYPERLINK(""https://beerizer.com/shop/melgers/het-edele-hert-barleywine--58308"", ""Beer Page"")",Netherlands,white,black,
Kerel Organic Wit BIO,VBDCK Brewery,3.45,3.30,6.6%,Wheat Beer - Witbier / Blanche,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4683543_59233_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/kerel-organic-wit-bio--231723"", ""Beer Page"")",Belgium,black,white,
