Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Chaos by Design / Mortalis,Smoldered Society Beer Co.,8.62,4.03,10.2%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F11%2F36%2F368322.png,"=HYPERLINK(""https://beerizer.com/shop/beer_republic/chaos-by-design-mortalis--368322"", ""Beer Page"")",United States,black,white,
Inferno Ale,The Lost Abbey,16.49,3.75,8.5%,Belgian Strong Golden Ale,beer-images.beerizer.com%2Fraw%2F11%2F36%2F368315.png,"=HYPERLINK(""https://beerizer.com/shop/beer_republic/inferno-ale--368315"", ""Beer Page"")",United States,dark,gold,
Tilquin Airelle Sauvage 2021-2022,Gueuzerie Tilquin,19.41,4.15,6.5%,Lambic - Fruit,beer-images.beerizer.com%2Fraw%2F8%2F26%2F267961.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/tilquin-airelle-sauvage-2021-2022--267961"", ""Beer Page"")",Belgium,white,black,
Tilquin Oude Kriek de Schaerbeek 2023-2024,Gueuzerie Tilquin,20.15,4.16,7%,Lambic - Kriek,beer-images.beerizer.com%2Fraw%2F8%2F36%2F368218.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/tilquin-oude-kriek-de-schaerbeek-2023-2024--368218"", ""Beer Page"")",Belgium,white,red,
Tilquin Oude Kriek de Schaerbeek 2023-2024,Gueuzerie Tilquin,11.77,4.16,7%,Lambic - Kriek,beer-images.beerizer.com%2Fraw%2F8%2F36%2F368219.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/tilquin-oude-kriek-de-schaerbeek-2023-2024--368219"", ""Beer Page"")",Belgium,black,gold,
Tilquin Gueuze 60-40 2023-2024,Gueuzerie Tilquin,6.36,4.05,6.8%,Lambic - Gueuze,beer-images.beerizer.com%2Fraw%2F8%2F36%2F368222.jpg,"=HYPERLINK(""https://beerizer.com/shop/etre_gourmet/tilquin-gueuze-60-40-2023-2024--368222"", ""Beer Page"")",Belgium,blue,white,
De Kracht Van Eenvoud,Moersleutel Craft Brewery,5.75,3.68,7%,Stout - Other,beer-images.beerizer.com%2Fraw%2F87%2F36%2F368197.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/de-kracht-van-eenvoud--368197"", ""Beer Page"")",Netherlands,dark,white,
Siren Lumina,Siren Craft Brew,2.90,3.60,4.2%,IPA - Session,beer-images.beerizer.com%2Fraw%2F60%2F11%2F110290.png,"=HYPERLINK(""https://beerizer.com/shop/beermerchants/siren-lumina--110290"", ""Beer Page"")",England,blue,white,
Chocolate Salty Bourbon Balls  BARREL AGED 4-YEARS OnlyCans,Cervisiam,8.99,4.11,11.7%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F75%2F36%2F368127.png,"=HYPERLINK(""https://beerizer.com/shop/rebelbeercans/chocolate-salty-bourbon-balls-barrel-aged-4-years-onlycans--368127"", ""Beer Page"")",Norway,black,yellow,
S'Morbidly Obese BARREL AGED 4-YEARS OnlyCans,Cervisiam,8.99,4.16,11.6%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F75%2F36%2F368117.png,"=HYPERLINK(""https://beerizer.com/shop/rebelbeercans/smorbidly-obese-barrel-aged-4-years-onlycans--368117"", ""Beer Page"")",Norway,black,yellow,
Val-dieu Grand Cru,Brasserie de l'Abbaye du Val-Dieu,3.25,3.78,10.5%,Belgian Quadrupel,www.acedrinks.nl%2Fmedia%2Fcache%2Fresolve%2Fsylius_shop_product_small_thumbnail%2Fval-dieu-grand-cru-10695-0-68bbed3e29b8d.jpg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/val-dieu-grand-cru--49334"", ""Beer Page"")",Belgium,white,black,
Tårt-Kaggen!,Omnipollo,14.50,4.20,13%,Porter - Imperial / Double,beer-images.beerizer.com%2Fraw%2F87%2F36%2F368001.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/tart-kaggen--368001"", ""Beer Page"")",Sweden,silver,black,
Farmhouse Rock,Jopen,3.95,3.46,7%,Farmhouse Ale - Other,beer-images.beerizer.com%2Fraw%2F87%2F36%2F368000.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/farmhouse-rock--368000"", ""Beer Page"")",Netherlands,white,black,
Tårt-Kaggen! Imperial Porter x Närke Kulturbryggeri,Omnipollo,19.50,4.20,13%,Porter - Imperial / Double,beer-images.beerizer.com%2Fraw%2F7%2F36%2F367989.png,"=HYPERLINK(""https://beerizer.com/shop/kihoskh/tart-kaggen-imperial-porter-x-narke-kulturbryggeri--367989"", ""Beer Page"")",Sweden,silver,black,
Blacker Chocolate Stout x Brooklyn Brewery,Omnipollo,18.10,4.05,10%,Stout - Imperial / Double,beer-images.beerizer.com%2Fraw%2F7%2F36%2F367988.png,"=HYPERLINK(""https://beerizer.com/shop/kihoskh/blacker-chocolate-stout-x-brooklyn-brewery--367988"", ""Beer Page"")",Sweden,blue,white,
Satan Black,Brouwerij De Block,2.95,3.40,8%,Belgian Strong Dark Ale,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-763158_656d0_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/satan-black--367983"", ""Beer Page"")",Belgium,black,yellow,
Märzen,Eschenbacher Privatbrauerei,1.90,3.15,5.5%,Märzen,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-EschenbacherEdelMaRzen_116234.jpeg,"=HYPERLINK(""https://beerizer.com/shop/bierothek/marzen--367980"", ""Beer Page"")",Germany,red,yellow,
Luna Wit,Zuyd Craft,3.49,3.52,5.8%,Wheat Beer - Witbier / Blanche,beer-images.beerizer.com%2Fraw%2F75%2F36%2F367937.png,"=HYPERLINK(""https://beerizer.com/shop/rebelbeercans/luna-wit--367937"", ""Beer Page"")",Netherlands,blue,white,
Head First,Brouwerij Frontaal,3.39,3.49,4.5%,IPA - Other,beer-images.beerizer.com%2Fraw%2F75%2F36%2F367928.png,"=HYPERLINK(""https://beerizer.com/shop/rebelbeercans/head-first--367928"", ""Beer Page"")",Netherlands,blue,white,
Delirium Nocturnum,Delirium - Huyghe Brewery,5.30,3.76,8.5%,Belgian Strong Dark Ale,beer-images.beerizer.com%2Fraw%2F60%2F10%2F101490.png,"=HYPERLINK(""https://beerizer.com/shop/beermerchants/delirium-nocturnum--101490"", ""Beer Page"")",Belgium,gold,black,
Framboise du Fermier (10 year),Side Project Brewing,57.00,4.32,8%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F82%2F36%2F367908.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/framboise-du-fermier-10-year--367908"", ""Beer Page"")",United States,black,gold,
La Ruche (10 Year),Side Project Brewing,42.00,4.21,5%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F82%2F36%2F367906.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/la-ruche-10-year--367906"", ""Beer Page"")",United States,white,black,
Rosé du Blé (10 Year),Side Project Brewing,42.00,4.20,5%,Farmhouse Ale - Brett,beer-images.beerizer.com%2Fraw%2F82%2F36%2F367907.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/rose-du-ble-10-year--367907"", ""Beer Page"")",United States,brown,white,
