Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Devils Heart of Gold (2023),Perennial Artisan Ales,49.99,4.35,14.4%,Wheat Beer - Wheat Wine,beer-images.beerizer.com%2Fraw%2F80%2F37%2F373511.jpg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/devils-heart-of-gold-2023--373511"", ""Beer Page"")",United States,black,white,
Emits Showers of Sparks,Hop Butcher For The World,10.50,4.22,7.5%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F63%2F37%2F373486.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierbazaar/emits-showers-of-sparks--373486"", ""Beer Page"")",United States,pink,white,
Maple Each Beast A God (Brazil Natural Yellow Catuai),Third Moon Brewing Company,12.80,4.19,8.5%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F63%2F37%2F373483.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierbazaar/maple-each-beast-a-god-brazil-natural-yellow-catuai--373483"", ""Beer Page"")",Canada,black,white,
30 Days - Italian Pilsner6-pack,To Øl,28.30,3.31,5%,Pilsner - Italian,beer-images.beerizer.com%2Fraw%2F31%2F34%2F340518.png,"=HYPERLINK(""https://beerizer.com/shop/tool/30-days-italian-pilsner-6-pack--340518"", ""Beer Page"")",Denmark,white,black,
Cuvée De Ranke 2023,Brouwerij De Ranke,10.90,4.11,7%,Sour - Other,beer-images.beerizer.com%2Fraw%2F84%2F37%2F373451.jpg,"=HYPERLINK(""https://beerizer.com/shop/quaff/cuvee-de-ranke-2023--373451"", ""Beer Page"")",Belgium,white,black,
Kerasi,Les Danaïdes,12.20,3.95,6.2%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F84%2F37%2F373448.jpg,"=HYPERLINK(""https://beerizer.com/shop/quaff/kerasi--373448"", ""Beer Page"")",France,black,red,
Kriek De Ranke,Brouwerij De Ranke,11.40,3.92,7%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F84%2F37%2F373452.jpg,"=HYPERLINK(""https://beerizer.com/shop/quaff/kriek-de-ranke--373452"", ""Beer Page"")",Belgium,black,white,
XX Bitter,Brouwerij De Ranke,3.20,3.47,6%,IPA - Belgian,beer-images.beerizer.com%2Fraw%2F84%2F30%2F307241.jpg,"=HYPERLINK(""https://beerizer.com/shop/quaff/xx-bitter--307241"", ""Beer Page"")",Belgium,black,white,
Amer-Amer,Brouwerij De Ranke,2.95,3.37,6%,IPA - Belgian,beer-images.beerizer.com%2Fraw%2F84%2F37%2F373450.jpg,"=HYPERLINK(""https://beerizer.com/shop/quaff/amer-amer--373450"", ""Beer Page"")",Belgium,black,white,
Franc Belge,Brouwerij De Ranke,2.95,3.31,5.2%,Pale Ale - Belgian,beer-images.beerizer.com%2Fraw%2F84%2F37%2F373449.jpg,"=HYPERLINK(""https://beerizer.com/shop/quaff/franc-belge--373449"", ""Beer Page"")",Belgium,black,white,
Mirakel 2023,Brouwerij De Ranke,12.60,3.81,5.5%,Lambic - Gueuze,beer-images.beerizer.com%2Fraw%2F84%2F37%2F373439.jpg,"=HYPERLINK(""https://beerizer.com/shop/quaff/mirakel-2023--373439"", ""Beer Page"")",Belgium,black,white,
