Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Dunkles Hefeweizen,Brauerei Gutmann,2.00,3.67,5.2%,Wheat Beer - Dunkelweizen,beer-images.beerizer.com%2Fraw%2F59%2F10%2F101151.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/gutmann-dunkles-hefeweizen--101151"", ""Beer Page"")",Germany,white,black,
Adler Alt Fränkisches Lagerbier,Schwarzer Adler Bräu Stettfeld,2.10,3.46,5%,Lager - Amber / Red,beer-images.beerizer.com%2Fraw%2F59%2F10%2F101008.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/adler-alt-frankisches-lagerbier--101008"", ""Beer Page"")",Germany,black,white,
Original,Brauerei Göller,2.10,3.36,4.9%,Pilsner - German,beer-images.beerizer.com%2Fraw%2F59%2F10%2F101157.png,"=HYPERLINK(""https://beerizer.com/shop/hier_gibts_bier/goller-original--101157"", ""Beer Page"")",Germany,white,blue,
The Great Northern Barrel Aged Series 51,Evil Twin Brewing NYC,56.20,4.44,14.5%,Barleywine - English,beer-images.beerizer.com%2Fraw%2F37%2F41%2F414649.png,"=HYPERLINK(""https://beerizer.com/shop/drikbeer/the-great-northern-barrel-aged-series-51--414649"", ""Beer Page"")",United States,black,white,
No More Dumplings v. 4,Evil Twin Brewing NYC,8.00,4.11,7.5%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F37%2F41%2F414658.png,"=HYPERLINK(""https://beerizer.com/shop/drikbeer/no-more-dumplings-v-4--414658"", ""Beer Page"")",United States,red,white,
Femme Fatale Yuzu Spectacle (collab w/ Root & Branch),Evil Twin Brewing NYC,10.60,3.78,8.2%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F37%2F41%2F414652.png,"=HYPERLINK(""https://beerizer.com/shop/drikbeer/femme-fatale-yuzu-spectacle-collab-w-root-branch--414652"", ""Beer Page"")",United States,gold,blue,
Kriek 100% Lambic Bio 6%,Brasserie Cantillon,14.80,4.30,5%,Lambic - Kriek,beer-images.beerizer.com%2Fraw%2F90%2F41%2F414605.png,"=HYPERLINK(""https://beerizer.com/shop/brygshoppen/cantillon-kriek-100-lambic-bio-6--414605"", ""Beer Page"")",Belgium,green,white,
Tripel,Vijfheeren Bier,3.60,3.49,8.1%,Belgian Tripel,beer-images.beerizer.com%2Fraw%2F48%2F22%2F229850.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierloods22/vijfheeren-bier-tripel--229850"", ""Beer Page"")",Netherlands,gold,blue,
Dubbel,Vijfheeren Bier,3.60,3.37,7.3%,Belgian Dubbel,beer-images.beerizer.com%2Fraw%2F48%2F22%2F229703.jpg,"=HYPERLINK(""https://beerizer.com/shop/bierloods22/vijfheeren-bier-dubbel--229703"", ""Beer Page"")",Netherlands,white,black,
All Tomorrow's Parties,Root + Branch Brewing,14.70,4.23,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F37%2F41%2F413336.png,"=HYPERLINK(""https://beerizer.com/shop/drikbeer/all-tomorrows-parties--413336"", ""Beer Page"")",United States,white,black,
