Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Paisley Cave Complex 2020,Bottle Logic Brewing,77.99,4.46,14.64%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3773062_3e69a_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/paisley-cave-complex-2020--384854"", ""Beer Page"")",United States,blue,white,
Another Dose - 22oz,Horus Aged Ales,77.99,4.45,12%,Stout - Imperial / Double Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3923435_28586_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/another-dose-22oz--385366"", ""Beer Page"")",United States,pink,black,
Maple Apple Brandy Whangdoodle 2019,The Veil Brewing Co.,54.99,4.45,11.5%,Stout - Imperial / Double Milk,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3426611_b64d4_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/maple-apple-brandy-whangdoodle-2019--385948"", ""Beer Page"")",United States,red,white,
BCBS Barleywine 2016,Goose Island Beer Co.,77.99,4.45,13.6%,Barleywine - English,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-298426_d31a1_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/bcbs-barleywine-2016--385261"", ""Beer Page"")",United States,gold,black,
Cinnabon Lord Whangdoodle,The Veil Brewing Co.,54.99,4.45,11.5%,Stout - Imperial / Double Milk,N/A,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/cinnabon-lord-whangdoodle--385895"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /O0LLvPMIYlIY18IeYMl-IInK5QU=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3933747_3d5b4_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1138b6c10>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Willett Rye Exit Strategy,Corporate Ladder Brewing Company,77.99,4.45,12%,Stout - Imperial / Double Pastry,N/A,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/willett-rye-exit-strategy--385037"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /kDeE7-L10KJ84Wd0LZ7Mhg4Yaa4=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4652215_a9836_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1146f5a30>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
"Midnight Eagle (22oz, Gold Wax,  10/22/2019, Horus)",WeldWerks Brewing Co.,77.99,4.45,15.3%,Stout - Imperial / Double,N/A,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/midnight-eagle-22oz-gold-wax-10222019-horus--386192"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /q5em_EBW5Wjgqfwgl-Z6Q8fVXek=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3493137_f5592_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x113914340>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
"2016 Trademark Dispute, Green Label",Cycle Brewing Company,46.99,4.45,N/A,Stout - Imperial / Double,N/A,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/2016-trademark-dispute-green-label--385048"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /cXtRNX_HzKG3Btdk3hZ1snQULpg=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-1841996_b0605_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x113914b80>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Lord Whangdoodle 2020,The Veil Brewing Co.,54.99,4.45,11.5%,Stout - Imperial / Double Milk,N/A,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/lord-whangdoodle-2020--385943"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /xey1YeYQO_BPvj6-A2Bah0GKXyA=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3933732_8ad65_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x113914070>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
Cryopreservation 2020,Bottle Logic Brewing,77.99,4.45,14.56%,Stout - Imperial / Double Milk,N/A,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/cryopreservation-2020--384816"", ""Beer Page"")",United States,N/A,N/A,"HTTPSConnectionPool(host='image-cache.beerizer.com', port=443): Max retries exceeded with url: /kF4Whbu-tSsRQHsDeURVerTqyhA=/trim/fit-in/100x100/assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3742081_cd0f7_sm.jpeg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1146f5dc0>: Failed to resolve 'image-cache.beerizer.com' ([Errno 8] nodename nor servname provided, or not known)""))"
