Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Jamaica,Cyclic Beer Farm,11.50,3.78,5.5%,Sour - Fruited Berliner Weisse,beer-images.beerizer.com%2Fraw%2F82%2F26%2F268667.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/jamaica--268667"", ""Beer Page"")",Spain,white,black,
Orangie,Cyclic Beer Farm,12.00,3.75,4%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F82%2F26%2F268671.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/orangie--268671"", ""Beer Page"")",Spain,yellow,red,
Xino Xano,Cyclic Beer Farm,9.10,3.67,4%,Sour - Berliner Weisse,beer-images.beerizer.com%2Fraw%2F82%2F26%2F268418.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/xino-xano--268418"", ""Beer Page"")",Spain,yellow,black,
Orange Dream,Cyclic Beer Farm,12.00,3.95,4%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418443.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/orange-dream--418443"", ""Beer Page"")",Spain,yellow,black,
Pomelo del Huerto,Cyclic Beer Farm,12.00,3.84,4%,Sour - Fruited Gose,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418442.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/pomelo-del-huerto--418442"", ""Beer Page"")",Spain,yellow,black,
Volta,Cyclic Beer Farm,10.90,3.79,4%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418438.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/volta--418438"", ""Beer Page"")",Spain,yellow,white,
Thyme After Thyme,Cyclic Beer Farm,9.50,3.78,3.8%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418439.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/thyme-after-thyme--418439"", ""Beer Page"")",Spain,white,black,
Matinada,Cyclic Beer Farm/ Dry River Brewing,11.50,3.73,5.5%,Sour - Other,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418444.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/matinada--418444"", ""Beer Page"")",Spain,white,black,
Plums,Cyclic Beer Farm/ Dry River Brewing,13.50,3.73,5.5%,Sour - Other,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418441.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/plums--418441"", ""Beer Page"")",Spain,yellow,black,
Elder,Cyclic Beer Farm,11.50,3.73,4.5%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418445.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/elder--418445"", ""Beer Page"")",Spain,gold,black,
Saturnalia,Cyclic Beer Farm,13.50,3.71,6.5%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F82%2F41%2F418440.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/saturnalia--418440"", ""Beer Page"")",Spain,gold,green,
Tombée Du Ciel,Brasserie Sir John Brewing Co.,13.71,4.12,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418437.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/tombee-du-ciel--418437"", ""Beer Page"")",Canada,white,black,
Tete Dans Les Nuages,Brasserie Sir John Brewing Co.,13.18,4.12,7%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418436.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/tete-dans-les-nuages--418436"", ""Beer Page"")",Canada,dark,light,
Sous Pression,Brasserie Sir John Brewing Co.,12.65,3.94,7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418435.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/sous-pression--418435"", ""Beer Page"")",Canada,blue,white,
Nonkel Pater,Antwerpse Brouw Compagnie,2.60,3.54,9%,Belgian Quadrupel,beer-images.beerizer.com%2Fraw%2F50%2F37%2F376710.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/nonkel-pater--376710"", ""Beer Page"")",Belgium,green,white,
SchuppenBoer Zero,Brouwerij Het Nest,2.00,3.23,0.2%,Non-Alcoholic - Other,beer-images.beerizer.com%2Fraw%2F50%2F41%2F410140.png,"=HYPERLINK(""https://beerizer.com/shop/beervikings/schuppenboer-zero--410140"", ""Beer Page"")",Belgium,blue,white,
Astoria,Brasserie Sir John Brewing Co.,12.65,3.93,7.2%,IPA - American,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418434.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/astoria--418434"", ""Beer Page"")",Canada,white,black,
Juicy By Nature,Salikatt Bryggeri,8.50,4.13,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F41%2F418429.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/salikatt-juicy-by-nature--418429"", ""Beer Page"")",Norway,green,white,
Vibe Check,Salikatt Bryggeri,8.25,4.04,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F41%2F418430.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/salikatt-vibe-check--418430"", ""Beer Page"")",Norway,blue,white,
Le Jardin Des Délices,Fauve,7.50,3.78,5.3%,Sour - Fruited Berliner Weisse,beer-images.beerizer.com%2Fraw%2F94%2F41%2F418426.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/fauve-le-jardin-des-delices--418426"", ""Beer Page"")",France,pink,white,
Jopen x Goodness London Calling Haarlem,Jopen,4.50,3.45,5.5%,IPA - Cold,beer-images.beerizer.com%2Fraw%2F94%2F41%2F418427.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/jopen-x-goodness-london-calling-haarlem--418427"", ""Beer Page"")",Netherlands,blue,white,
Schelde Brouwerij Schol,Scheldebrouwerij,2.50,2.91,0.4%,Non-Alcoholic - Pale Ale,beer-images.beerizer.com%2Fraw%2F94%2F39%2F395625.png,"=HYPERLINK(""https://beerizer.com/shop/verdins/schelde-brouwerij-schol--395625"", ""Beer Page"")",Belgium,white,black,
Wheat In Motion6-pack,To Øl CPH,26.70,3.35,4.2%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F31%2F41%2F410797.png,"=HYPERLINK(""https://beerizer.com/shop/tool/wheat-in-motion-6-pack--410797"", ""Beer Page"")",Denmark,white,red,
Wheat In Motion24-pack,To Øl CPH,106.60,3.35,4.2%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F31%2F41%2F410798.png,"=HYPERLINK(""https://beerizer.com/shop/tool/wheat-in-motion-24-pack--410798"", ""Beer Page"")",Denmark,blue,white,
Trouble Juice6 pack,To Øl,22.80,3.34,4.7%,IPA - Session,beer-images.beerizer.com%2Fraw%2F31%2F30%2F309674.png,"=HYPERLINK(""https://beerizer.com/shop/tool/trouble-juice-6-pack--309674"", ""Beer Page"")",Denmark,pink,black,
Trouble Juice24 pack,To Øl,79.80,3.34,4.7%,IPA - Session,beer-images.beerizer.com%2Fraw%2F31%2F30%2F309677.png,"=HYPERLINK(""https://beerizer.com/shop/tool/trouble-juice-24-pack--309677"", ""Beer Page"")",Denmark,blue,white,
Separation Rage (2025),Third Moon Brewing Company,16.60,4.21,11.9%,IPA - Quadruple,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418424.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/separation-rage-2025--418424"", ""Beer Page"")",Canada,black,white,
Slings,Third Moon Brewing Company,12.85,4.07,10%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418425.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/slings--418425"", ""Beer Page"")",Canada,brown,red,
Dead Dont Die (2025),Third Moon Brewing Company,15.95,4.21,10%,Stout - Imperial / Double Milk,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418422.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/dead-dont-die-2025--418422"", ""Beer Page"")",Canada,black,white,
Left Hand Path - Peacharine,Third Moon Brewing Company,12.65,3.96,6.5%,IPA - American,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418423.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/left-hand-path-peacharine--418423"", ""Beer Page"")",Canada,white,red,
Bestowed - Cream Egg (2025),Third Moon Brewing Company,18.64,4.12,11.5%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418421.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/bestowed-cream-egg-2025--418421"", ""Beer Page"")",Canada,blue,white,
Wheat In MotionSingle,To Øl CPH,5.40,3.35,4.2%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F31%2F40%2F407788.png,"=HYPERLINK(""https://beerizer.com/shop/tool/wheat-in-motion-single--407788"", ""Beer Page"")",Denmark,blue,white,
Trouble JuiceSingle,To Øl,5.40,3.34,4.7%,IPA - Session,beer-images.beerizer.com%2Fraw%2F31%2F30%2F309662.png,"=HYPERLINK(""https://beerizer.com/shop/tool/trouble-juice-single--309662"", ""Beer Page"")",Denmark,blue,black,
Bell Tree (2025),Third Moon Brewing Company,16.07,4.14,10.5%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F62%2F41%2F418420.jpg,"=HYPERLINK(""https://beerizer.com/shop/onlygoodbeer/bell-tree-2025--418420"", ""Beer Page"")",Canada,blue,white,
