Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Brewery Kapittel Blond,Leroy Breweries,2.20,3.25,6.5%,Belgian Blonde,beer-images.beerizer.com%2Fraw%2F98%2F42%2F425991.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/leroy-brewery-kapittel-blond--425991"", ""Beer Page"")",Belgium,yellow,blue,
Kersenradler 0.0,Lindeboom,1.85,3.24,N/A,Non-Alcoholic - Shandy / Radler,beer-images.beerizer.com%2Fraw%2F98%2F42%2F425974.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/lindeboom-kersenradler-00--425974"", ""Beer Page"")",Netherlands,red,white,
Swinckels Superior 0.0,Royal Swinkels Family Brewers,1.50,3.23,5.3%,Pilsner - Other,beer-images.beerizer.com%2Fraw%2F98%2F42%2F425966.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/swinckels-superior-00--425966"", ""Beer Page"")",Netherlands,white,black,
Ipa,Brouwhoeve,3.65,3.23,5.5%,IPA - American,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426230.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/brouwhoeve-ipa--426230"", ""Beer Page"")",Spain,brown,white,
Beer With Benefits,XXL Nutrition,3.15,3.21,25%,Non-Alcoholic - IPA,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426143.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/xxl-nutrition-beer-with-benefits--426143"", ""Beer Page"")",Netherlands,white,black,
Leffe Ruby,Abbaye de Leffe,2.60,3.20,5%,Fruit Beer,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426045.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/leffe-leffe-ruby--426045"", ""Beer Page"")",Belgium,brown,red,
Rabauw Schijn Bedriegt,Rabauw Craft Beer,4.00,3.19,4.5%,Lager - Pale,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426119.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/rabauw-schijn-bedriegt--426119"", ""Beer Page"")",Netherlands,blue,white,
Designated Dryver,Dutch Bargain,3.05,3.15,0.3%,Non-Alcoholic - Other,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426122.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/dutch-bargain-designated-dryver--426122"", ""Beer Page"")",Netherlands,orange,white,
La Trappe La Trappe Epos 0.0%,Bierbrouwerij De Koningshoeven,2.20,3.12,N/A,Non-Alcoholic - Pale Ale,beer-images.beerizer.com%2Fraw%2F98%2F42%2F425992.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/la-trappe-la-trappe-epos-00--425992"", ""Beer Page"")",Netherlands,white,blue,
Singha Beer,Boon Rawd Brewery,2.50,3.07,5%,Lager - Pale,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426030.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/singha-beer--426030"", ""Beer Page"")",Thailand,white,black,
Vleeghel Oude Vleeghel,Stadsbrouwerij De Vleeghel,3.20,3.07,5%,Red Ale - Irish,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426154.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/vleeghel-oude-vleeghel--426154"", ""Beer Page"")",Netherlands,black,white,
St. Feuillien Grisette Blond Glutenvrij,Brasserie St-Feuillien,2.00,3.06,5.5%,Gluten-Free,beer-images.beerizer.com%2Fraw%2F98%2F42%2F425977.jpg,"=HYPERLINK(""https://beerizer.com/shop/hellobier/st-feuillien-grisette-blond-glutenvrij--425977"", ""Beer Page"")",Belgium,white,black,
Delirium Delirio,Delirium - Huyghe Brewery,3.10,3.05,0.3%,Non-Alcoholic - Other,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426134.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/delirium-delirio--426134"", ""Beer Page"")",Belgium,white,black,
Gentse Gruut Bruin Glutenvrij,Gentse Gruut Stadsbrouwerij,3.40,3.05,3.5%,Gluten-Free,beer-images.beerizer.com%2Fraw%2F98%2F42%2F426193.png,"=HYPERLINK(""https://beerizer.com/shop/hellobier/gentse-gruut-bruin-glutenvrij--426193"", ""Beer Page"")",Belgium,orange,white,
