Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Katuiner Bock,Brouwerij Katuin,3.50,3.43,7%,Bock - Hell / Maibock / Lentebock,beer-images.beerizer.com%2Fraw%2F51%2F36%2F366941.png,"=HYPERLINK(""https://beerizer.com/shop/hoptimaal/katuiner-bock--366941"", ""Beer Page"")",Netherlands,black,yellow,
glass Funky Fluid Bodega,Funky Fluid,5.20,3.88,6.4%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F92%2F41%2F410839.jpg,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/glass-funky-fluid-bodega--410839"", ""Beer Page"")",Poland,white,black,
Game Over: Citadel,Funky Fluid,3.80,3.84,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F92%2F41%2F410829.jpg,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/game-over-citadel--410829"", ""Beer Page"")",Poland,blue,white,
"Free Gelato: Passionfruit, Mango & Peach",Funky Fluid,3.70,3.71,0.5%,Non-Alcoholic - Sour,beer-images.beerizer.com%2Fraw%2F92%2F41%2F410833.jpg,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/free-gelato-passionfruit-mango-peach--410833"", ""Beer Page"")",Poland,white,black,
Joyride,Funky Fluid,3.50,3.71,5%,IPA - Session,beer-images.beerizer.com%2Fraw%2F92%2F41%2F410823.jpg,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/joyride--410823"", ""Beer Page"")",Poland,white,black,
Kompot,Funky Fluid,3.60,3.70,4%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F92%2F41%2F410827.jpg,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/kompot--410827"", ""Beer Page"")",Poland,blue,white,
Saturated,Funky Fluid,3.50,3.60,6.3%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F92%2F41%2F410826.jpg,"=HYPERLINK(""https://beerizer.com/shop/funkyshop/saturated--410826"", ""Beer Page"")",Poland,blue,white,
Maitre Brut Barolo BA,Brewery De Meester,18.10,3.78,10.5%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F90%2F41%2F410822.png,"=HYPERLINK(""https://beerizer.com/shop/brygshoppen/maitre-brut-barolo-ba--410822"", ""Beer Page"")",Belgium,brown,white,
Space Pirate,Game Over Brewing Co.,7.35,4.00,8%,IPA - Imperial / Double,beer-images.beerizer.com%2Fraw%2F95%2F40%2F405849.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/space-pirate--405849"", ""Beer Page"")",France,blue,white,
Single Hop Series TDH Enigma IPA,Ārpus Brewing Co.,5.06,3.97,7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F40%2F404884.jpg,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/single-hop-series-tdh-enigma-ipa--404884"", ""Beer Page"")",Latvia,lightblue,white,
Monster Mash,Rock City Brewing,8.20,3.93,11.5%,Lager - IPL (India Pale Lager),beer-images.beerizer.com%2Fraw%2F95%2F40%2F404848.jpg,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/monster-mash--404848"", ""Beer Page"")",Netherlands,blue,white,
Paris Delight,TankBusters.Co,5.74,3.87,5.2%,IPA - Fruited,beer-images.beerizer.com%2Fraw%2F95%2F40%2F409557.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/paris-delight--409557"", ""Beer Page"")",Poland,blue,white,
Kohia Nelson,Funky Fluid,6.50,3.68,6.3%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F95%2F40%2F404813.png,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/kohia-nelson--404813"", ""Beer Page"")",Poland,red,white,
Be Wise,Brouwerij Kees,4.10,3.17,0.3%,Non-Alcoholic - Wheat,beer-images.beerizer.com%2Fraw%2F90%2F40%2F407295.png,"=HYPERLINK(""https://beerizer.com/shop/brygshoppen/be-wise--407295"", ""Beer Page"")",Netherlands,blue,white,
Ellie's Brown Ale,Avery Brewing Co.,6.29,3.63,5.5%,Brown Ale - American,beer-images.beerizer.com%2Fraw%2F11%2F19%2F192722.png,"=HYPERLINK(""https://beerizer.com/shop/beer_republic/ellies-brown-ale--192722"", ""Beer Page"")",United States,brown,white,
Aloha,Brouwerij Homeland,3.95,3.17,4.1%,Pale Ale - Fruited,beer-images.beerizer.com%2Fraw%2F33%2F41%2F410802.webp,"=HYPERLINK(""https://beerizer.com/shop/mr_hop/homeland-aloha--410802"", ""Beer Page"")",Netherlands,unknown,unknown,
Starfield Project,Elmeleven,8.90,4.25,5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410771.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/starfield-project--410771"", ""Beer Page"")",Sweden,purple,white,
Goodbye Galaxy,Elmeleven,9.90,4.10,4.6%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410770.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/goodbye-galaxy--410770"", ""Beer Page"")",Sweden,blue,white,
Igłolód,Browar Spółdzielczy,19.50,4.03,13%,Freeze-Distilled Beer,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410790.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/iglolod--410790"", ""Beer Page"")",Poland,gold,black,
Eggstraterrestrial,Elmeleven,9.80,3.96,5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410773.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/eggstraterrestrial--410773"", ""Beer Page"")",Sweden,black,white,
Lodowa Róza,Browar Spółdzielczy,19.50,3.93,13.7%,Freeze-Distilled Beer,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410791.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/lodowa-roza--410791"", ""Beer Page"")",Poland,pink,white,
Róż,À tue-tête,20.50,3.81,6.5%,Sour - Fruited,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410778.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/roz--410778"", ""Beer Page"")",Switzerland,white,black,
Noyau  2024750 ml,À tue-tête,24.60,3.81,6.5%,Sour - Other,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410777.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/noyau-2024750-ml--410777"", ""Beer Page"")",Switzerland,gray,white,
Supłowe,Browar Spółdzielczy,3.10,3.37,2%,Pale Ale - American,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410788.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/suplowe--410788"", ""Beer Page"")",Poland,white,black,
Refowe,Browar Spółdzielczy,2.50,3.26,5%,Wheat Beer - Hefeweizen,beer-images.beerizer.com%2Fraw%2F65%2F41%2F410795.png,"=HYPERLINK(""https://beerizer.com/shop/piwnemosty/refowe--410795"", ""Beer Page"")",Poland,brown,white,
Élevage Macvin,Levain,19.00,4.34,7%,Sour - Other,beer-images.beerizer.com%2Fraw%2F82%2F33%2F336569.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/elevage-macvin--336569"", ""Beer Page"")",France,purple,white,
Kriek,Brasserie Cantillon,9.50,4.30,5%,Lambic - Kriek,beer-images.beerizer.com%2Fraw%2F82%2F26%2F268523.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/kriek--268523"", ""Beer Page"")",Belgium,white,black,
Saint Lamvinus 2024,Brasserie Cantillon,21.00,4.27,7.5%,Lambic - Fruit,beer-images.beerizer.com%2Fraw%2F82%2F34%2F340703.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/saint-lamvinus-2024--340703"", ""Beer Page"")",Belgium,white,black,
Premier Cassis,The Chubby Brewing Company,14.00,4.27,5.5%,Farmhouse Ale - Saison,beer-images.beerizer.com%2Fraw%2F82%2F41%2F410758.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/premier-cassis--410758"", ""Beer Page"")",France,white,black,
Gueuze,Brasserie Cantillon,7.50,4.18,5.5%,Lambic - Gueuze,beer-images.beerizer.com%2Fraw%2F82%2F26%2F268486.jpg,"=HYPERLINK(""https://beerizer.com/shop/buvance/gueuze--268486"", ""Beer Page"")",Belgium,brown,white,
